Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Brandin Podziemski,34:45,2,4,.500,1,2,.500,0,0,,3,2,5,3,0,0,1,1,5,+13,34:45,.625,.625,.500,.000,9.2,7.1,8.2,8.6,0.0,0.0,20.0,6.2,138,129,-4.8
Draymond Green,34:15,3,6,.500,0,2,.000,0,0,,2,10,12,13,1,0,2,3,6,+12,34:15,.500,.500,.333,.000,6.2,35.9,20.0,38.9,1.5,0.0,25.0,10.1,137,121,5.1
Stephen Curry,33:52,12,24,.500,3,10,.300,4,5,.800,1,5,6,5,2,0,1,0,31,+4,33:52,.592,.563,.417,.208,3.1,18.2,10.1,20.8,2.9,0.0,3.7,34.9,127,121,6.8
Jonathan Kuminga,31:08,9,16,.563,2,3,.667,3,5,.600,0,2,2,4,0,0,1,5,23,+5,31:08,.632,.625,.188,.313,0.0,7.9,3.7,16.6,0.0,0.0,5.2,26.8,128,129,-1.9
Andrew Wiggins,29:41,7,17,.412,2,6,.333,0,0,,3,3,6,1,0,1,0,3,16,+7,29:41,.471,.471,.353,.000,10.8,12.4,11.6,4.1,0.0,2.8,0.0,24.9,112,126,-7.6
Klay Thompson,29:33,9,15,.600,5,10,.500,3,3,1.000,1,3,4,3,0,0,0,1,26,+1,29:33,.797,.767,.667,.200,3.6,12.5,7.7,13.4,0.0,0.0,0.0,24.0,165,128,10.7
Trayce Jackson-Davis,21:21,4,5,.800,0,0,,2,2,1.000,2,1,3,4,0,2,1,2,10,-4,21:21,.850,.800,.000,.400,10.0,5.8,8.0,21.4,0.0,7.8,14.5,14.0,164,123,7.5
Chris Paul,18:53,4,7,.571,0,0,,0,0,,1,5,6,4,0,0,1,2,8,+1,18:53,.571,.571,.000,.000,5.6,32.6,18.2,24.9,0.0,0.0,12.5,18.4,124,125,-4.7
Gary Payton II,6:32,1,3,.333,1,1,1.000,0,0,,1,0,1,1,0,1,0,2,3,-4,6:32,.500,.500,.333,.000,16.3,0.0,8.7,16.8,0.0,12.7,0.0,19.9,135,120,3.5
Kevon Looney,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Moses Moody,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Lester Quinones,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jerome Robinson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Dario Šarić,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,51,97,.526,14,34,.412,12,15,.800,14,31,45,38,3,4,7,19,128,,240,.618,.598,.351,.155,31.1,79.5,53.6,74.5,3.1,6.9,6.3,100.0,132.6,125.4,
