Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Taylor Hendricks,33:12,5,12,.417,2,7,.286,3,4,.750,1,9,10,1,1,1,1,1,15,-23,33:12,.545,.500,.583,.333,3.1,27.1,15.2,4.7,1.5,2.8,6.8,19.9,108,117,0.5
Walker Kessler,30:20,3,4,.750,0,0,,1,2,.500,2,8,10,0,0,1,0,2,7,-19,30:20,.717,.750,.000,.500,6.7,26.4,16.7,0.0,0.0,3.0,0.0,7.2,152,121,-2.2
Keyonte George,29:49,5,16,.313,1,7,.143,7,8,.875,0,3,3,2,0,0,4,2,18,-13,29:49,.461,.344,.438,.500,0.0,10.1,5.1,10.7,0.0,0.0,17.0,35.3,83,126,-12.7
Brice Sensabaugh,26:48,4,12,.333,0,5,.000,0,0,,2,5,7,2,0,0,3,1,8,-20,26:48,.333,.333,.417,.000,7.6,18.7,13.2,11.6,0.0,0.0,20.0,25.1,67,125,-13.6
Kris Dunn,24:17,2,7,.286,0,1,.000,0,0,,1,2,3,3,2,0,0,1,4,-17,24:17,.286,.286,.143,.000,4.2,8.2,6.2,17.4,4.0,0.0,0.0,12.9,86,117,-3.9
Collin Sexton,30:36,9,16,.563,1,3,.333,3,3,1.000,1,1,2,10,1,0,5,2,22,-11,30:36,.635,.594,.188,.188,3.3,3.3,3.3,65.7,1.6,0.0,22.4,32.6,112,124,4.8
Johnny Juzang,21:38,3,5,.600,2,3,.667,0,0,,0,4,4,0,0,0,1,2,8,-5,21:38,.800,.800,.600,.000,0.0,18.5,9.3,0.0,0.0,0.0,16.7,12.4,117,125,-3.1
Omer Yurtseven,17:40,6,7,.857,0,0,,2,2,1.000,1,4,5,0,0,3,1,3,14,0,17:40,.888,.857,.000,.286,5.8,22.6,14.3,0.0,0.0,15.7,11.3,22.5,150,110,10.2
Micah Potter,12:54,0,1,.000,0,0,,2,2,1.000,1,2,3,0,0,0,0,0,2,+9,12:54,.532,.000,.000,2.000,7.9,15.5,11.8,0.0,0.0,0.0,0.0,6.5,139,125,-5.0
Jason Preston,12:46,1,3,.333,0,0,,0,0,,1,3,4,5,0,0,0,0,2,+4,12:46,.333,.333,.000,.000,8.0,23.5,15.8,54.9,0.0,0.0,0.0,10.5,127,124,5.2
Talen Horton-Tucker,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Kira Lewis Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Luka Šamanić,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,38,83,.458,6,26,.231,18,21,.857,10,41,51,23,4,5,15,14,100,,240,.542,.494,.313,.253,21.3,85.4,53.7,60.5,4.1,9.6,14.0,100.0,102.3,121.7,
