Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Damian Lillard,38:38,10,19,.526,4,8,.500,7,7,1.000,1,4,5,16,1,0,4,1,31,+14,38:38,.702,.632,.421,.368,3.0,15.5,8.4,51.5,1.3,0.0,15.3,29.4,147,136,6.9
Jae Crowder,31:51,7,11,.636,4,6,.667,0,0,,0,2,2,0,3,0,0,1,18,+9,31:51,.818,.818,.545,.000,0.0,9.4,4.1,0.0,4.6,0.0,0.0,15.0,153,129,4.1
Malik Beasley,29:15,6,11,.545,5,8,.625,0,0,,0,3,3,3,0,0,0,1,17,+3,29:15,.773,.773,.727,.000,0.0,15.4,6.7,12.0,0.0,0.0,0.0,16.4,157,138,2.2
Khris Middleton,25:29,8,15,.533,2,4,.500,4,4,1.000,1,2,3,7,1,0,2,4,22,-11,25:29,.656,.600,.267,.267,4.5,11.8,7.6,36.7,1.9,0.0,10.7,32.1,138,134,1.2
Brook Lopez,18:12,4,8,.500,2,5,.400,0,0,,3,4,7,3,1,1,1,1,10,-4,18:12,.625,.625,.625,.000,18.8,33.0,24.9,19.6,2.7,4.9,11.1,21.5,139,126,5.6
Bobby Portis,29:48,13,20,.650,5,5,1.000,0,0,,3,7,10,2,3,0,1,0,31,+15,29:48,.775,.775,.250,.000,11.5,35.2,21.8,10.7,5.0,0.0,4.8,30.7,148,125,12.5
Patrick Beverley,29:12,1,6,.167,1,3,.333,0,0,,0,2,2,4,1,0,1,3,3,+22,29:12,.250,.250,.500,.000,0.0,10.3,4.4,13.3,1.7,0.0,14.3,10.4,84,135,-11.6
Pat Connaughton,22:08,1,3,.333,0,1,.000,1,1,1.000,1,1,2,0,0,1,1,0,3,-4,22:08,.436,.333,.333,.333,5.2,6.8,5.9,0.0,0.0,4.0,22.5,8.7,87,136,-10.8
A.J. Green,15:27,1,1,1.000,1,1,1.000,2,2,1.000,1,0,1,0,1,0,0,1,5,+11,15:27,1.330,1.500,1.000,2.000,7.4,0.0,4.2,0.0,3.2,0.0,0.0,5.3,262,133,2.6
Thanasis Antetokounmpo,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Danilo Gallinari,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jaylin Galloway,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Andre Jackson Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Ryan Rollins,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
TyTy Washington Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,51,94,.543,24,41,.585,14,14,1.000,10,25,35,35,11,2,10,12,140,,240,.699,.670,.436,.149,23.8,78.1,47.3,68.6,11.3,3.7,9.1,100.0,143.4,132.2,
