Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Caris LeVert,37:59,7,15,.467,1,5,.200,8,11,.727,1,7,8,11,1,1,1,2,23,+12,37:59,.580,.500,.333,.733,3.2,20.1,12.0,47.7,1.4,2.4,4.8,24.8,136,109,9.7
Darius Garland,36:05,5,18,.278,1,9,.111,2,4,.500,4,2,6,7,2,0,5,4,13,+10,36:05,.329,.306,.500,.222,13.3,6.0,9.5,29.7,2.8,0.0,20.2,31.0,79,112,-11.2
Jarrett Allen,33:59,8,12,.667,0,0,,7,8,.875,0,9,9,1,1,1,1,0,23,-3,33:59,.741,.667,.000,.667,0.0,28.9,15.1,5.3,1.5,2.7,6.1,21.9,142,106,7.2
Georges Niang,33:20,5,8,.625,3,4,.750,0,0,,0,2,2,1,0,1,4,2,13,+5,33:20,.813,.813,.500,.000,0.0,6.5,3.4,4.7,0.0,2.7,33.3,16.3,91,117,-2.9
Isaac Okoro,33:13,4,7,.571,1,2,.500,0,0,,1,2,3,2,1,0,2,4,9,-4,33:13,.643,.643,.286,.000,3.6,6.6,5.2,9.0,1.5,0.0,22.2,12.2,105,115,-4.3
Sam Merrill,24:36,3,8,.375,2,6,.333,3,3,1.000,1,0,1,1,1,1,1,2,11,-7,24:36,.590,.500,.750,.375,4.9,0.0,2.3,6.1,2.1,3.7,9.7,18.9,116,114,0.5
Marcus Morris,19:52,5,7,.714,4,5,.800,0,0,,0,4,4,0,0,0,0,3,14,+9,19:52,1.000,1.000,.714,.000,0.0,22.0,11.5,0.0,0.0,0.0,0.0,15.9,175,112,10.9
Tristan Thompson,14:01,1,2,.500,0,0,,0,2,.000,2,2,4,2,1,0,0,1,2,+7,14:01,.347,.500,.000,1.000,17.1,15.6,16.3,19.8,3.7,0.0,0.0,9.3,121,107,2.4
Craig Porter Jr.,6:55,0,3,.000,0,1,.000,0,0,,0,2,2,2,1,0,0,0,0,-4,6:55,.000,.000,.333,.000,0.0,31.5,16.5,36.5,7.4,0.0,0.0,19.6,44,93,-4.9
Ty Jerome,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
Damian Jones,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Dean Wade,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,38,80,.475,12,32,.375,20,28,.714,9,30,39,27,8,4,14,18,108,,240,.585,.550,.400,.350,22.5,68.2,46.4,71.1,8.6,7.5,13.2,100.0,115.6,110.3,
