Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
DeMar DeRozan,40:05,10,17,.588,1,2,.500,7,7,1.000,2,3,5,6,0,1,2,0,28,+12,40:05,.697,.618,.118,.412,5.6,9.0,7.2,24.8,0.0,2.0,9.1,23.8,142,120,6.7
Ayo Dosunmu,38:45,9,17,.529,2,6,.333,3,3,1.000,1,0,1,10,1,0,2,2,23,+12,38:45,.628,.588,.353,.176,2.9,0.0,1.5,41.5,1.3,0.0,9.8,22.6,134,121,5.8
Nikola Vučević,34:49,10,17,.588,2,4,.500,0,2,.000,1,8,9,0,2,1,3,3,22,-2,34:49,.615,.647,.235,.118,3.2,27.6,14.9,0.0,2.9,2.3,14.4,25.9,101,107,-1.3
Alex Caruso,31:09,1,5,.200,1,5,.200,2,4,.500,0,4,4,4,3,1,1,5,5,0,31:09,.370,.300,1.000,.800,0.0,15.4,7.4,15.6,4.9,2.6,12.9,10.7,93,107,-3.2
Torrey Craig,23:54,2,7,.286,2,5,.400,0,0,,1,1,2,2,1,1,0,2,6,+3,23:54,.429,.429,.714,.000,4.7,5.0,4.8,10.9,2.1,3.3,0.0,12.6,113,116,-1.6
Onuralp Bitim,25:43,4,9,.444,1,3,.333,0,0,,1,3,4,1,0,0,1,2,9,-7,25:43,.500,.500,.333,.000,4.3,14.0,9.0,5.6,0.0,0.0,10.0,16.8,101,119,-8.0
Jevon Carter,16:48,1,4,.250,1,4,.250,0,0,,0,1,1,1,0,0,0,1,3,-6,16:48,.375,.375,1.000,.000,0.0,7.1,3.4,7.5,0.0,0.0,0.0,10.3,96,122,-9.9
Dalen Terry,15:02,2,7,.286,1,4,.250,0,0,,0,3,3,2,2,1,0,4,5,-3,15:02,.357,.357,.571,.000,0.0,23.9,11.5,18.4,6.8,5.3,0.0,20.1,94,98,0.5
Andre Drummond,13:43,2,10,.200,0,0,,5,5,1.000,7,4,11,0,0,0,0,2,9,+6,13:43,.369,.200,.000,.500,57.0,35.0,46.4,0.0,0.0,0.0,0.0,38.4,114,112,-12.3
Henri Drell,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Andrew Funk,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Adama Sanogo,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Terry Taylor,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,41,93,.441,11,33,.333,17,21,.810,13,27,40,26,9,5,9,21,110,,240,.538,.500,.355,.226,30.2,67.5,48.2,63.4,9.6,8.3,8.1,100.0,117.1,113.9,
