Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Cam Thomas,33:41,8,19,.421,3,10,.300,6,7,.857,1,2,3,2,0,0,1,2,25,-18,33:41,.566,.500,.526,.368,2.8,7.3,4.8,14.5,0.0,0.0,4.3,30.8,119,122,4.5
Dennis Schröder,33:38,4,12,.333,2,6,.333,2,2,1.000,0,2,2,5,1,0,4,1,12,-13,33:38,.466,.417,.500,.167,0.0,7.3,3.2,28.2,1.6,0.0,23.7,22.6,85,119,-5.0
Mikal Bridges,32:22,4,11,.364,4,9,.444,3,6,.500,1,1,2,1,2,0,2,1,15,-8,32:22,.550,.545,.818,.545,2.9,3.8,3.3,5.9,3.3,0.0,12.8,21.7,101,116,1.8
Dorian Finney-Smith,27:42,0,6,.000,0,4,.000,2,2,1.000,0,3,3,1,1,1,0,0,2,-15,27:42,.145,.000,.667,.333,0.0,13.3,5.8,5.6,1.9,3.5,0.0,11.2,45,114,-7.6
Nic Claxton,21:57,3,3,1.000,0,0,,2,2,1.000,2,4,6,2,0,1,1,3,8,-10,21:57,1.031,1.000,.000,.667,8.6,22.4,14.6,17.9,0.0,4.5,20.5,10.0,170,115,5.5
Day'Ron Sharpe,23:36,4,11,.364,0,0,,0,0,,9,8,17,3,0,2,2,2,8,-7,23:36,.364,.364,.000,.000,35.9,41.7,38.4,26.7,0.0,8.3,15.4,24.8,99,108,0.8
Cameron Johnson,21:55,4,9,.444,2,6,.333,0,1,.000,0,4,4,1,0,0,2,1,10,-8,21:55,.530,.556,.667,.111,0.0,22.5,9.7,9.8,0.0,0.0,17.5,23.5,86,118,-4.2
Lonnie Walker IV,16:17,1,6,.167,1,5,.200,0,0,,0,1,1,0,0,0,0,0,3,-4,16:17,.250,.250,.833,.000,0.0,7.6,3.3,0.0,0.0,0.0,0.0,16.6,58,122,-12.4
Dennis Smith Jr.,9:55,0,2,.000,0,0,,0,0,,0,0,0,3,1,0,1,1,0,-3,9:55,.000,.000,.000,.000,0.0,0.0,0.0,46.8,5.4,0.0,33.3,13.6,49,112,-7.2
Jalen Wilson,9:41,3,4,.750,0,0,,0,0,,1,1,2,0,0,0,0,1,6,+11,9:41,.750,.750,.000,.000,9.7,12.7,11.0,0.0,0.0,0.0,0.0,18.6,151,121,5.3
Keita Bates-Diop,4:38,0,0,,0,0,,2,2,1.000,0,1,1,1,1,0,0,0,2,+5,4:38,1.136,,,,0.0,26.6,11.5,33.4,11.6,0.0,0.0,8.5,248,91,28.8
Trendon Watford,4:38,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,+5,4:38,.000,.000,.000,.000,0.0,26.6,11.5,0.0,0.0,0.0,0.0,9.7,0,117,-20.0
Team Totals,240,31,84,.369,12,40,.300,17,22,.773,14,28,42,19,6,4,13,13,91,,240,.486,.440,.476,.262,27.5,71.8,46.7,61.3,6.7,8.2,12.2,100.0,101.6,116.2,
