Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Darius Garland,40:46,7,18,.389,5,12,.417,1,1,1.000,1,0,1,9,0,0,1,2,20,+3,40:46,.542,.528,.667,.056,3.3,0.0,1.6,39.6,0.0,0.0,5.1,23.9,120,127,-0.6
Jarrett Allen,38:50,10,13,.769,0,0,,5,6,.833,2,18,20,3,0,0,2,2,25,+4,38:50,.799,.769,.000,.462,6.9,58.5,33.4,16.4,0.0,0.0,11.3,22.8,144,115,7.1
Isaac Okoro,38:27,3,6,.500,1,3,.333,0,0,,0,1,1,1,0,0,0,2,7,+2,38:27,.583,.583,.500,.000,0.0,3.3,1.7,4.0,0.0,0.0,0.0,7.8,114,127,-7.0
Caris LeVert,36:56,4,9,.444,1,4,.250,7,8,.875,1,4,5,12,2,1,5,3,16,-9,36:56,.639,.500,.444,.889,3.6,13.7,8.8,52.3,2.9,2.8,28.5,23.8,120,116,5.5
Georges Niang,34:49,6,15,.400,3,11,.273,3,3,1.000,0,3,3,1,1,0,1,2,18,0,34:49,.551,.500,.733,.200,0.0,10.9,5.6,5.2,1.6,0.0,5.8,25.0,101,122,-4.5
Sam Merrill,20:37,4,9,.444,4,9,.444,0,0,,0,1,1,0,0,0,1,2,12,+1,20:37,.667,.667,1.000,.000,0.0,6.1,3.1,0.0,0.0,0.0,10.0,24.3,100,126,-3.2
Marcus Morris,16:15,1,3,.333,1,2,.500,1,2,.500,1,1,2,3,0,0,1,2,4,-2,16:15,.515,.500,.667,.667,8.2,7.8,8.0,27.7,0.0,0.0,20.5,15.1,114,126,-2.8
Tristan Thompson,9:23,0,1,.000,0,0,,0,0,,1,3,4,1,0,1,0,3,0,-7,9:23,.000,.000,.000,.000,14.2,40.4,27.7,14.6,0.0,10.9,0.0,5.3,106,110,-5.6
Craig Porter Jr.,3:57,0,1,.000,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,1,2,-7,3:57,.532,.000,1.000,2.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.9,120,127,-13.7
Emoni Bates,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Ty Jerome,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Damian Jones,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,35,75,.467,15,42,.357,19,22,.864,6,31,37,30,3,2,11,19,104,,240,.614,.567,.560,.293,16.7,81.6,50.0,85.7,3.4,4.3,11.5,100.0,117.9,121.3,
