Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jayson Tatum,39:20,9,19,.474,4,7,.571,9,10,.900,0,8,8,4,3,2,2,2,31,+2,39:20,.662,.579,.368,.526,0.0,27.9,12.5,16.8,3.9,5.0,7.9,29.0,132,117,10.4
Al Horford,38:07,3,3,1.000,2,2,1.000,0,0,,1,3,4,4,1,1,2,2,8,+15,38:07,1.333,1.333,.667,.000,2.9,10.8,6.5,13.9,1.4,2.6,40.0,5.9,154,129,3.0
Derrick White,37:28,8,17,.471,4,11,.364,3,3,1.000,0,5,5,8,0,2,0,5,23,-7,37:28,.628,.588,.647,.176,0.0,18.3,8.2,34.4,0.0,5.2,0.0,22.0,148,128,6.7
Jaylen Brown,37:05,6,15,.400,2,4,.500,7,10,.700,4,4,8,2,1,0,1,3,21,-2,37:05,.541,.467,.267,.667,12.0,14.8,13.3,8.0,1.4,0.0,4.9,24.7,124,129,-3.0
Kristaps Porziņģis,27:47,6,16,.375,0,5,.000,5,6,.833,3,0,3,2,0,0,2,3,17,-8,27:47,.456,.375,.313,.375,12.1,0.0,6.6,11.7,0.0,0.0,9.7,33.4,102,136,-13.3
Payton Pritchard,31:29,7,11,.636,5,8,.625,0,0,,2,4,6,3,0,0,1,2,19,+2,31:29,.864,.864,.727,.000,7.1,17.4,11.7,15.6,0.0,0.0,8.3,17.1,161,132,7.3
Xavier Tillman Sr.,14:28,0,2,.000,0,2,.000,0,0,,1,2,3,2,1,0,1,1,0,-4,14:28,.000,.000,1.000,.000,7.7,19.0,12.8,16.6,3.6,0.0,33.3,9.3,65,123,-6.7
Luke Kornet,9:09,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+7,9:09,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0,136,-13.9
Svi Mykhailiuk,5:07,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,+10,5:07,1.500,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,300,136,12.0
Oshae Brissett,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Drew Peterson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jaden Springer,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,40,85,.471,18,40,.450,24,29,.828,11,26,37,25,6,5,9,18,122,,240,.624,.576,.471,.341,25.6,74.3,47.4,62.5,6.4,10.2,8.4,100.0,131.1,127.9,
