Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Keegan Murray,30:42,5,12,.417,0,5,.000,0,0,,3,5,8,1,1,2,2,3,10,+33,30:42,.417,.417,.417,.000,12.3,17.0,14.9,3.9,1.7,6.4,14.3,18.9,97,94,-9.3
De'Aaron Fox,28:26,8,15,.533,3,7,.429,1,2,.500,0,4,4,5,2,0,3,0,20,+22,28:26,.630,.633,.467,.133,0.0,14.7,8.0,24.5,3.6,0.0,15.9,27.5,123,95,3.2
Domantas Sabonis,27:34,4,7,.571,0,0,,5,6,.833,6,11,17,10,0,1,1,2,13,+26,27:34,.674,.571,.000,.857,27.5,41.6,35.2,42.4,0.0,3.6,9.4,16.0,169,91,15.6
Keon Ellis,25:19,2,6,.333,2,5,.400,0,0,,0,1,1,2,4,1,0,1,6,+28,25:19,.500,.500,.833,.000,0.0,4.1,2.3,8.6,8.0,3.9,0.0,9.8,143,86,5.2
Harrison Barnes,19:02,6,9,.667,3,5,.600,1,2,.500,0,2,2,1,0,0,0,1,16,+11,19:02,.810,.833,.556,.222,0.0,11.0,6.0,7.7,0.0,0.0,0.0,21.5,172,103,7.5
Davion Mitchell,21:22,4,7,.571,0,1,.000,0,0,,2,0,2,3,2,0,3,0,8,+10,21:22,.571,.571,.143,.000,11.8,0.0,5.3,17.3,4.8,0.0,30.0,19.4,101,97,-2.8
Malik Monk,19:42,6,12,.500,1,7,.143,4,4,1.000,0,2,2,2,1,0,3,3,17,+16,19:42,.618,.542,.583,.333,0.0,10.6,5.8,14.6,2.6,0.0,17.9,35.2,116,98,-5.5
Chris Duarte,19:12,5,6,.833,2,2,1.000,2,2,1.000,2,3,5,2,0,0,1,0,14,+14,19:12,1.017,1.000,.333,.333,13.2,16.3,14.9,14.1,0.0,0.0,12.7,17.0,180,102,12.6
Alex Len,16:02,2,2,1.000,0,0,,2,2,1.000,0,3,3,4,0,1,0,1,6,+1,16:02,1.042,1.000,.000,1.000,0.0,19.5,10.7,28.5,0.0,6.1,0.0,7.4,221,97,13.7
Kessler Edwards,12:00,4,8,.500,1,5,.200,0,0,,1,2,3,1,1,0,1,1,9,0,12:00,.563,.563,.625,.000,10.5,17.4,14.3,12.5,4.2,0.0,11.1,31.1,119,92,-0.9
Jalen Slawson,8:23,1,2,.500,0,1,.000,0,0,,1,1,2,0,1,0,0,2,2,+3,8:23,.500,.500,.500,.000,15.1,12.4,13.6,0.0,6.1,0.0,0.0,9.9,137,89,-4.9
Colby Jones,7:52,0,2,.000,0,2,.000,0,0,,1,0,1,1,0,0,1,2,0,-1,7:52,.000,.000,1.000,.000,16.1,0.0,7.3,12.7,0.0,0.0,33.3,15.8,46,106,-24.5
JaVale McGee,4:24,1,5,.200,0,0,,0,0,,2,1,3,0,2,1,0,0,2,+7,4:24,.200,.200,.000,.000,57.4,23.7,39.0,0.0,23.1,22.3,0.0,47.1,84,35,-4.0
Team Totals,240,48,93,.516,12,40,.300,15,18,.833,18,35,53,32,14,6,15,16,123,,240,.609,.581,.430,.194,47.4,76.1,63.1,66.7,14.8,12.2,12.9,100.0,130.5,94.4,
