Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Keyonte George,27:59,3,14,.214,0,7,.000,3,3,1.000,0,7,7,2,0,0,2,1,9,-23,27:59,.294,.214,.500,.214,0.0,26.1,13.1,9.8,0.0,0.0,11.5,26.3,64,121,-15.5
Taylor Hendricks,24:10,3,6,.500,2,5,.400,4,4,1.000,3,1,4,1,0,3,0,3,12,-22,24:10,.773,.667,.833,.667,13.0,4.3,8.6,5.8,0.0,11.0,0.0,13.6,173,118,9.8
John Collins,23:22,5,12,.417,2,3,.667,4,4,1.000,3,3,6,0,1,0,1,4,16,-23,23:22,.581,.500,.250,.333,13.4,13.4,13.4,0.0,2.1,0.0,6.8,26.9,121,120,-0.4
Kris Dunn,23:22,2,5,.400,1,2,.500,0,0,,0,1,1,3,1,0,0,3,5,-15,23:22,.500,.500,.400,.000,0.0,4.5,2.2,17.2,2.1,0.0,0.0,9.1,124,122,-2.4
Brice Sensabaugh,20:10,2,9,.222,0,3,.000,0,0,,1,5,6,1,1,0,4,1,4,0,20:10,.222,.222,.333,.000,5.2,25.9,15.5,6.8,2.4,0.0,30.8,27.4,41,116,-18.8
Collin Sexton,29:45,12,19,.632,0,2,.000,1,2,.500,1,4,5,7,2,0,2,0,25,-6,29:45,.629,.632,.105,.105,3.5,14.0,8.8,54.7,3.3,0.0,9.1,31.3,127,117,12.7
Walker Kessler,23:22,2,2,1.000,0,0,,0,0,,2,6,8,1,0,1,2,3,4,-5,23:22,1.000,1.000,.000,.000,8.9,26.8,17.9,5.7,0.0,3.8,50.0,7.3,110,118,-3.0
Johnny Juzang,20:22,3,6,.500,3,6,.500,0,0,,0,1,1,0,0,0,1,2,9,+3,20:22,.750,.750,1.000,.000,0.0,5.1,2.6,0.0,0.0,0.0,14.3,14.6,121,126,-1.4
Talen Horton-Tucker,15:54,3,10,.300,1,5,.200,1,1,1.000,0,2,2,2,0,0,1,2,8,+4,15:54,.383,.350,.500,.100,0.0,13.1,6.6,19.5,0.0,0.0,8.7,30.6,83,124,-11.0
Micah Potter,15:06,1,2,.500,1,2,.500,0,0,,0,3,3,1,0,1,2,2,3,-1,15:06,.750,.750,1.000,.000,0.0,20.7,10.4,8.6,0.0,5.9,50.0,11.3,75,118,-3.5
Kira Lewis Jr.,4:07,2,3,.667,0,1,.000,2,2,1.000,1,0,1,2,0,0,0,0,6,+7,4:07,.773,.667,.333,.667,25.3,0.0,12.7,100.0,0.0,0.0,0.0,40.1,178,128,38.2
Omer Yurtseven,4:07,2,2,1.000,0,0,,2,2,1.000,0,3,3,0,0,0,0,0,6,+7,4:07,,,,,0.0,0.0,0.0,0.0,11.7,0.0,,0.0,0,102,7.6
Jason Preston,4:07,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,+7,4:07,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,127,-10.5
Luka Šamanić,4:07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,+7,4:07,1.042,1.000,.000,1.000,0.0,76.0,38.0,0.0,0.0,0.0,0.0,29.7,222,110,32.7
Team Totals,240,40,90,.444,10,36,.278,17,18,.944,11,36,47,20,6,5,15,22,107,,240,.546,.500,.400,.200,23.9,78.3,51.1,50.0,6.0,9.3,13.3,100.0,107.8,119.9,
