Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Paolo Banchero,33:29,9,18,.500,2,5,.400,0,2,.000,1,9,10,11,1,0,4,2,20,+11,33:29,.530,.556,.278,.111,3.6,39.1,19.6,46.2,1.4,0.0,17.5,30.3,110,109,2.6
Jalen Suggs,27:41,7,14,.500,3,8,.375,5,6,.833,0,1,1,2,1,0,1,3,22,+4,27:41,.661,.607,.571,.429,0.0,5.3,2.4,9.9,1.8,0.0,5.7,28.2,130,110,0.8
Franz Wagner,27:34,7,13,.538,2,5,.400,2,2,1.000,0,3,3,3,1,0,0,2,18,+5,27:34,.648,.615,.385,.154,0.0,15.8,7.2,15.0,1.8,0.0,0.0,22.3,139,110,3.0
Wendell Carter Jr.,23:20,4,7,.571,0,2,.000,0,3,.000,2,4,6,4,3,1,1,0,8,-2,23:20,.481,.571,.286,.429,10.3,24.9,16.9,21.2,6.2,3.5,10.7,17.7,112,96,6.6
Gary Harris,12:13,2,3,.667,1,2,.500,0,0,,1,0,1,0,0,0,1,1,5,-14,12:13,.833,.833,.667,.000,9.8,0.0,5.4,0.0,0.0,0.0,25.0,14.5,117,114,-4.0
Markelle Fultz,20:10,3,4,.750,0,0,,0,0,,1,0,1,6,1,0,0,3,6,+21,20:10,.750,.750,.000,.000,6.0,0.0,3.3,35.8,2.4,0.0,0.0,8.8,184,109,6.9
Cole Anthony,18:05,3,8,.375,2,4,.500,2,2,1.000,1,4,5,1,0,1,2,1,10,+23,18:05,.563,.500,.500,.250,6.6,32.2,18.2,6.8,0.0,4.6,18.4,26.7,101,108,-4.1
Jonathan Isaac,15:56,4,6,.667,1,3,.333,0,0,,3,2,5,2,2,1,1,1,9,+14,15:56,.750,.750,.500,.000,22.6,18.3,20.6,17.2,6.1,5.2,14.3,19.5,144,95,12.9
Joe Ingles,15:36,0,1,.000,0,1,.000,0,0,,0,3,3,2,3,0,1,2,0,+17,15:36,.000,.000,1.000,.000,0.0,28.0,12.6,13.1,9.3,0.0,50.0,5.7,58,93,-0.3
Moritz Wagner,14:15,5,5,1.000,2,2,1.000,2,2,1.000,0,1,1,0,0,0,0,0,14,+15,14:15,1.190,1.200,.400,.400,0.0,10.2,4.6,0.0,0.0,0.0,0.0,18.3,243,114,16.8
Caleb Houstan,13:28,1,3,.333,1,3,.333,0,0,,1,0,1,0,0,0,1,1,3,-1,13:28,.500,.500,1.000,.000,8.9,0.0,4.9,0.0,0.0,0.0,25.0,13.2,86,114,-10.3
Anthony Black,4:43,1,2,.500,0,0,,0,0,,0,1,1,1,0,1,1,0,2,-6,4:43,.500,.500,.000,.000,0.0,30.8,13.9,27.6,0.0,17.5,33.3,28.2,80,95,0.7
Goga Bitadze,4:30,1,1,1.000,0,0,,2,2,1.000,0,0,0,1,0,0,1,0,4,-4,4:30,1.064,1.000,.000,2.000,0.0,0.0,0.0,29.4,0.0,0.0,34.7,28.3,142,114,10.7
Chuma Okeke,4:30,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-4,4:30,,,,,0.0,32.3,14.6,0.0,0.0,0.0,,0.0,0,113,-4.4
Admiral Schofield,4:30,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-4,4:30,.000,.000,1.000,.000,0.0,32.3,14.6,0.0,0.0,0.0,0.0,9.8,0,113,-15.9
Team Totals,240,47,86,.547,14,36,.389,13,19,.684,10,30,40,33,12,4,14,16,121,,240,.641,.628,.419,.221,25.0,90.9,54.8,70.2,12.1,6.9,12.9,100.0,122.2,107.0,
