Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Lauri Markkanen,35:47,6,20,.300,1,9,.111,8,8,1.000,0,3,3,2,2,0,0,1,21,-19,35:47,.446,.325,.450,.400,0.0,9.1,5.0,9.0,2.7,0.0,0.0,28.8,95,112,-0.2
Keyonte George,33:04,6,16,.375,1,6,.167,5,5,1.000,0,2,2,5,1,0,6,0,18,-9,33:04,.495,.406,.375,.313,0.0,6.6,3.6,24.8,1.4,0.0,24.8,32.1,80,116,-5.7
Taylor Hendricks,28:24,2,4,.500,1,3,.333,0,0,,0,2,2,0,1,0,1,5,5,-7,28:24,.625,.625,.750,.000,0.0,7.7,4.2,0.0,1.7,0.0,20.0,7.7,86,114,-5.8
Walker Kessler,27:29,7,7,1.000,0,0,,0,0,,1,8,9,2,0,0,2,3,14,-7,27:29,1.000,1.000,.000,.000,4.7,31.8,19.4,13.6,0.0,0.0,22.2,14.4,140,112,6.1
Kris Dunn,19:37,2,3,.667,0,1,.000,0,0,,0,4,4,5,1,1,4,5,4,+10,19:37,.667,.667,.333,.000,0.0,22.2,12.1,37.0,2.4,4.5,57.1,15.7,73,105,-3.9
Collin Sexton,33:48,9,14,.643,0,3,.000,2,2,1.000,1,3,4,5,0,0,3,2,20,-21,33:48,.672,.643,.214,.143,3.8,9.7,7.0,28.2,0.0,0.0,16.8,23.2,113,118,1.0
Omer Yurtseven,20:31,4,7,.571,1,2,.500,1,2,.500,2,3,5,2,0,0,0,2,10,-9,20:31,.635,.643,.286,.286,12.6,16.0,14.4,16.3,0.0,0.0,0.0,16.9,133,116,5.4
Brice Sensabaugh,19:31,1,7,.143,0,4,.000,1,2,.500,1,7,8,5,1,2,2,1,3,-5,19:31,.190,.143,.571,.286,6.6,39.1,24.3,34.6,2.4,9.1,20.2,22.2,59,99,0.5
Johnny Juzang,7:31,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,3,0,-7,7:31,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0,117,-18.9
Kira Lewis Jr.,7:25,0,2,.000,0,0,,0,0,,0,0,0,3,0,0,0,1,0,0,7:25,.000,.000,.000,.000,0.0,0.0,0.0,51.1,0.0,0.0,0.0,11.8,62,119,-7.8
Micah Potter,6:53,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2,-6,6:53,.500,.500,.500,.000,0.0,15.8,8.6,0.0,0.0,0.0,0.0,12.8,93,117,-3.9
Talen Horton-Tucker,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jason Preston,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Luka Šamanić,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,38,83,.458,4,30,.133,17,19,.895,5,33,38,29,6,3,18,23,97,,240,.531,.482,.361,.229,13.5,75.0,46.9,76.3,6.0,5.6,16.5,100.0,96.6,112.6,
