Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Luka Dončić,34:40,11,23,.478,4,10,.400,8,12,.667,1,8,9,8,4,0,4,2,34,-3,34:40,.601,.565,.435,.522,3.1,29.9,15.4,39.9,5.5,0.0,12.4,40.2,115,90,14.6
Kyrie Irving,34:37,7,19,.368,2,8,.250,0,0,,1,4,5,7,2,0,1,1,16,+37,34:37,.421,.421,.421,.000,3.2,15.0,8.6,29.2,2.8,0.0,5.0,24.9,101,97,0.0
P.J. Washington,33:20,3,9,.333,0,4,.000,0,0,,1,4,5,1,2,2,1,5,6,+9,33:20,.333,.333,.444,.000,3.3,15.6,8.9,3.7,2.9,5.4,10.0,12.9,73,92,-6.3
Daniel Gafford,27:16,10,11,.909,0,0,,4,6,.667,3,4,7,5,1,0,1,2,24,+25,27:16,.880,.909,.000,.545,12.0,19.0,15.2,34.7,1.8,0.0,6.8,23.2,169,99,18.3
Derrick Jones Jr.,24:27,4,4,1.000,0,0,,4,6,.667,0,4,4,2,0,1,0,1,12,+21,24:27,.904,1.000,.000,1.500,0.0,21.2,9.7,11.2,0.0,3.7,0.0,11.7,187,99,7.3
Maxi Kleber,17:47,2,3,.667,2,3,.667,1,2,.500,1,1,2,2,3,0,1,3,7,+15,17:47,.902,1.000,1.000,.667,6.1,7.3,6.7,14.4,8.1,0.0,20.5,11.8,139,87,11.6
Jaden Hardy,17:10,2,5,.400,2,4,.500,0,0,,1,1,2,5,0,0,1,4,6,+6,17:10,.600,.600,.800,.000,6.4,7.6,6.9,37.4,0.0,0.0,16.7,15.1,128,104,1.7
Tim Hardaway Jr.,16:53,0,4,.000,0,3,.000,0,0,,0,1,1,0,0,0,1,0,0,-5,16:53,.000,.000,.750,.000,0.0,7.7,3.5,0.0,0.0,0.0,20.0,12.8,0,104,-20.0
Dereck Lively II,15:29,3,5,.600,0,0,,0,2,.000,3,2,5,1,0,0,1,0,6,-17,15:29,.510,.600,.000,.400,21.1,16.8,19.1,9.2,0.0,0.0,14.5,19.2,105,103,-4.3
Dante Exum,15:09,0,1,.000,0,0,,0,0,,0,2,2,2,0,0,2,2,0,-8,15:09,.000,.000,.000,.000,0.0,17.1,7.8,14.7,0.0,0.0,66.7,8.5,36,103,-15.4
A.J. Lawson,1:04,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,0,1:04,.500,.500,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.8,111,105,-6.8
Dwight Powell,1:04,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0,1:04,,,,,0.0,100.0,55.6,0.0,0.0,0.0,,0.0,0,90,-1.0
Olivier-Maxence Prosper,1:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,1:04,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,105,-7.1
Markieff Morris,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,43,86,.500,10,32,.313,17,28,.607,11,32,43,33,12,3,13,20,113,,240,.575,.558,.372,.326,25.0,86.5,53.1,76.7,12.0,5.7,11.7,100.0,112.6,96.6,
