Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Tyrese Haliburton,37:50,9,18,.500,4,8,.500,4,5,.800,0,2,2,11,4,3,1,0,26,+25,37:50,.644,.611,.444,.278,0.0,4.1,2.2,38.2,5.0,6.6,4.7,23.0,140,106,18.1
Aaron Nesmith,35:59,3,11,.273,2,6,.333,0,0,,1,2,3,2,1,1,0,4,8,+14,35:59,.364,.364,.545,.000,2.6,4.3,3.5,6.1,1.3,2.3,0.0,12.5,91,115,-6.6
Andrew Nembhard,33:16,7,11,.636,1,2,.500,2,2,1.000,1,4,5,5,0,0,3,3,17,+18,33:16,.715,.682,.182,.182,2.8,9.3,6.3,19.0,0.0,0.0,20.2,18.3,122,116,-1.9
Pascal Siakam,33:07,11,17,.647,1,3,.333,2,4,.500,3,13,16,6,1,0,3,1,25,+16,33:07,.666,.676,.176,.235,8.4,30.4,20.3,27.1,1.4,0.0,13.8,26.9,125,99,9.1
Myles Turner,26:56,5,15,.333,1,5,.200,3,4,.750,2,8,10,0,0,5,0,2,14,+7,26:56,.418,.367,.333,.267,6.9,23.0,15.6,0.0,0.0,15.4,0.0,25.5,95,100,-3.4
Jalen Smith,21:04,4,5,.800,3,3,1.000,0,0,,3,4,7,1,1,1,0,2,11,+5,21:04,1.100,1.100,.600,.000,13.1,14.7,14.0,5.9,2.2,3.9,0.0,9.7,211,105,12.5
T.J. McConnell,16:43,5,11,.455,0,1,.000,1,1,1.000,1,1,2,6,0,0,3,0,11,-4,16:43,.481,.455,.091,.091,5.5,4.6,5.0,51.2,0.0,0.0,20.8,35.4,98,119,-4.9
Obi Toppin,14:53,3,6,.500,2,4,.500,0,0,,0,3,3,0,0,0,1,1,8,-4,14:53,.667,.667,.667,.000,0.0,15.6,8.5,0.0,0.0,0.0,14.3,19.3,102,112,-3.2
Ben Sheppard,14:14,1,4,.250,1,3,.333,0,0,,1,0,1,1,1,0,0,1,3,-5,14:14,.375,.375,.750,.000,6.5,0.0,3.0,7.6,3.3,0.0,0.0,11.5,104,114,-2.6
Doug McDermott,5:58,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-12,5:58,.000,.000,1.000,.000,0.0,13.0,7.1,0.0,0.0,0.0,0.0,6.9,0,114,-13.8
Kendall Brown,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Isaiah Jackson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jarace Walker,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,48,99,.485,15,36,.417,12,16,.750,12,38,50,32,8,10,11,14,123,,240,.580,.561,.364,.162,23.1,61.3,43.9,66.7,7.8,17.2,9.4,100.0,120.5,108.8,
