Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Shai Gilgeous-Alexander,33:21,9,20,.450,1,5,.200,4,6,.667,1,6,7,8,3,1,6,4,23,+7,33:21,.508,.475,.250,.300,3.3,22.7,12.3,32.9,4.2,3.1,20.9,34.8,98,96,-1.5
Jalen Williams,27:06,9,13,.692,0,0,,2,2,1.000,0,3,3,3,3,2,3,1,20,+12,27:06,.720,.692,.000,.154,0.0,14.0,6.5,16.6,5.1,7.7,17.8,25.3,121,91,8.4
Chet Holmgren,26:36,8,13,.615,2,4,.500,0,0,,3,7,10,1,2,1,0,1,18,+14,26:36,.692,.692,.308,.000,12.3,33.2,22.0,5.4,3.5,3.9,0.0,19.8,150,96,8.5
Luguentz Dort,22:44,4,9,.444,1,5,.200,1,1,1.000,0,3,3,2,0,0,1,3,10,+8,22:44,.530,.500,.556,.111,0.0,16.7,7.7,10.7,0.0,0.0,9.6,18.6,109,108,-7.4
Josh Giddey,21:57,4,6,.667,1,2,.500,1,1,1.000,0,2,2,5,0,1,2,3,10,+13,21:57,.776,.750,.333,.167,0.0,11.5,5.3,27.9,0.0,4.8,23.7,15.6,132,105,2.5
Gordon Hayward,23:50,1,4,.250,1,3,.333,2,2,1.000,0,6,6,1,0,0,2,4,5,+7,23:50,.512,.375,.750,.500,0.0,31.8,14.7,4.4,0.0,0.0,29.1,11.7,84,106,-11.6
Cason Wallace,23:39,4,10,.400,3,5,.600,1,2,.500,3,1,4,1,2,0,0,0,12,+14,23:39,.551,.550,.500,.200,13.8,5.3,9.9,5.1,3.9,0.0,0.0,18.7,132,101,4.0
Kenrich Williams,23:07,5,7,.714,2,3,.667,0,0,,3,2,5,2,4,0,0,0,12,+8,23:07,.857,.857,.429,.000,14.2,10.9,12.7,11.0,8.0,0.0,0.0,12.3,184,91,16.6
Isaiah Joe,17:18,2,5,.400,1,4,.250,3,3,1.000,0,1,1,2,0,0,0,3,8,+11,17:18,.633,.500,.800,.600,0.0,7.3,3.4,13.1,0.0,0.0,0.0,14.8,150,109,-3.0
Aaron Wiggins,12:17,1,2,.500,0,0,,1,2,.500,0,1,1,2,3,0,1,0,3,+10,12:17,.521,.500,.000,1.000,0.0,10.3,4.8,17.7,11.3,0.0,25.8,12.8,99,84,7.3
Lindy Waters III,4:51,0,5,.000,0,1,.000,0,0,,2,1,3,0,0,0,0,1,0,-3,4:51,.000,.000,.200,.000,45.0,26.0,36.2,0.0,0.0,0.0,0.0,41.8,35,107,-44.3
Mike Muscala,3:14,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,2,-1,3:14,1.000,1.000,.000,.000,33.7,0.0,18.1,0.0,0.0,0.0,0.0,12.5,208,110,7.3
Bismack Biyombo,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jaylin Williams,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,48,95,.505,12,32,.375,15,19,.789,13,33,46,27,17,5,15,20,123,,240,.595,.568,.337,.200,29.5,86.8,56.1,56.3,16.4,10.9,12.7,100.0,118.6,99.3,
