Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kevin Durant,31:02,12,16,.750,1,2,.500,0,0,,0,4,4,4,3,0,0,0,25,+31,31:02,.781,.781,.125,.000,0.0,15.5,8.5,16.5,4.7,0.0,0.0,23.3,157,104,11.9
Devin Booker,30:30,14,24,.583,3,7,.429,1,1,1.000,2,5,7,9,0,0,2,3,32,+29,30:30,.655,.646,.292,.042,9.5,19.7,15.1,41.7,0.0,0.0,7.6,39.1,133,114,7.1
Bradley Beal,28:23,6,10,.600,1,3,.333,0,0,,0,1,1,12,0,0,1,1,13,+15,28:23,.650,.650,.300,.000,0.0,4.2,2.3,44.3,0.0,0.0,9.1,17.5,147,117,5.4
Grayson Allen,25:37,4,6,.667,0,0,,0,0,,0,2,2,1,1,0,1,1,8,+26,25:37,.667,.667,.000,.000,0.0,9.4,5.1,3.9,1.9,0.0,14.3,12.3,112,112,-6.4
Jusuf Nurkić,21:49,3,7,.429,0,0,,0,0,,3,7,10,3,3,0,0,4,6,+26,21:49,.429,.429,.000,.000,20.0,38.5,30.1,13.4,6.7,0.0,0.0,14.5,127,95,1.0
Eric Gordon,22:51,4,6,.667,4,5,.800,0,0,,0,0,0,1,1,0,0,3,12,+4,22:51,1.000,1.000,.833,.000,0.0,0.0,0.0,4.4,2.1,0.0,0.0,11.8,183,113,5.0
Bol Bol,19:01,4,5,.800,2,2,1.000,3,4,.750,0,4,4,1,0,1,0,3,13,+5,19:01,.962,1.000,.400,.800,0.0,25.2,13.8,5.5,0.0,4.9,0.0,16.0,189,109,7.6
Drew Eubanks,18:21,3,4,.750,0,0,,4,5,.800,0,3,3,1,1,3,0,1,10,+2,18:21,.806,.750,.000,1.250,0.0,19.6,10.7,5.4,2.7,15.1,0.0,15.2,170,97,9.2
Royce O'Neale,15:43,2,6,.333,0,4,.000,0,0,,0,4,4,0,0,1,2,0,4,-3,15:43,.333,.333,.667,.000,0.0,30.5,16.7,0.0,0.0,5.9,25.0,23.0,49,108,-18.1
Josh Okogie,9:34,0,2,.000,0,0,,0,0,,1,0,1,1,0,0,1,1,0,-4,9:34,.000,.000,.000,.000,15.2,0.0,6.9,9.0,0.0,0.0,33.3,14.1,52,118,-19.5
Thaddeus Young,5:43,2,4,.500,0,0,,0,0,,1,1,2,2,1,0,1,0,4,-2,5:43,.500,.500,.500,.000,0.0,0.0,0.0,17.6,0.0,0.0,0.0,15.8,121,117,-7.1
Nassir Little,5:43,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,0,1,2,-2,5:43,.500,.500,.000,.000,0.0,21.0,11.5,35.3,8.6,0.0,0.0,15.8,136,95,14.6
David Roddy,5:43,1,2,.500,0,0,,0,0,,0,1,1,2,1,0,0,0,2,-2,5:43,.500,.500,.000,.000,25.4,21.0,23.0,42.8,8.6,0.0,20.0,39.5,107,95,6.7
Isaiah Thomas,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,56,94,.596,11,24,.458,8,10,.800,7,32,39,38,11,5,8,18,131,,240,.666,.654,.255,.106,21.2,80.0,53.4,67.9,11.2,9.6,7.5,100.0,133.6,108.1,
