Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Anthony Davis,40:00,15,21,.714,1,2,.500,5,5,1.000,3,13,16,3,2,1,2,4,36,+11,40:00,.776,.738,.095,.238,9.5,36.3,23.7,11.3,2.2,1.7,7.9,25.6,150,125,5.9
LeBron James,38:08,8,19,.421,2,4,.500,8,8,1.000,1,4,5,10,1,1,3,1,26,+12,38:08,.577,.474,.211,.421,3.3,11.7,7.8,31.5,1.1,1.8,11.8,27.2,124,132,0.2
Austin Reaves,37:29,6,13,.462,2,5,.400,11,12,.917,1,4,5,8,0,1,2,1,25,+4,37:29,.684,.538,.385,.923,3.4,11.9,7.9,24.2,0.0,1.8,9.9,22.0,144,135,1.9
Spencer Dinwiddie,35:17,8,11,.727,2,3,.667,8,9,.889,0,2,2,5,1,2,3,4,26,0,35:17,.869,.818,.273,.818,0.0,6.3,3.4,17.4,1.2,3.8,16.7,20.7,150,131,5.1
Rui Hachimura,30:23,4,8,.500,1,4,.250,0,0,,0,5,5,1,0,1,0,1,9,+6,30:23,.563,.563,.500,.000,0.0,18.4,9.8,3.6,0.0,2.2,0.0,10.7,118,133,-5.0
Cam Reddish,22:43,1,5,.200,1,3,.333,4,6,.667,0,0,0,0,2,0,0,0,7,+1,22:43,.458,.300,.600,1.200,0.0,0.0,0.0,0.0,3.8,0.0,0.0,13.7,102,130,-5.5
Taurean Prince,19:19,6,8,.750,2,3,.667,0,1,.000,0,2,2,0,0,1,0,3,14,-3,19:19,.829,.875,.375,.125,0.0,11.6,6.1,0.0,0.0,3.5,0.0,17.8,155,132,2.0
Max Christie,8:41,1,1,1.000,1,1,1.000,0,0,,0,2,2,1,0,0,0,0,3,0,8:41,1.500,1.500,1.000,.000,0.0,25.7,13.6,12.4,0.0,0.0,0.0,4.7,274,134,8.5
Jaxson Hayes,7:59,1,3,.333,0,0,,2,2,1.000,3,1,4,0,0,0,0,0,4,-6,7:59,.515,.333,.000,.667,47.5,14.0,29.7,0.0,0.0,0.0,0.0,19.8,148,136,-6.1
Harry Giles,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Maxwell Lewis,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Skylar Mays,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,50,89,.562,12,25,.480,38,43,.884,8,33,41,28,6,7,10,14,150,,240,.695,.629,.281,.483,21.1,76.7,50.6,56.0,5.5,9.9,8.5,100.0,136.4,131.9,
