Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Shai Gilgeous-Alexander,29:58,5,12,.417,0,3,.000,2,3,.667,0,3,3,2,3,1,4,0,12,-17,29:58,.450,.417,.250,.250,0.0,11.4,5.1,12.8,4.9,2.8,23.1,25.1,72,114,-2.9
Jalen Williams,29:04,8,15,.533,1,4,.250,1,2,.500,3,0,3,4,1,0,0,3,18,-17,29:04,.567,.567,.267,.133,9.5,0.0,5.3,33.4,1.7,0.0,0.0,23.7,126,125,7.2
Josh Giddey,28:42,7,12,.583,4,6,.667,1,1,1.000,0,9,9,8,0,0,1,2,19,-3,28:42,.764,.750,.500,.083,0.0,35.8,16.0,62.8,0.0,0.0,7.4,20.3,150,118,17.9
Chet Holmgren,25:28,1,10,.100,0,5,.000,4,4,1.000,1,3,4,0,0,0,1,1,6,-1,25:28,.255,.100,.500,.400,3.6,13.5,8.0,0.0,0.0,0.0,7.8,21.7,57,125,-15.6
Luguentz Dort,22:19,2,8,.250,1,6,.167,2,2,1.000,0,3,3,0,0,0,0,2,7,-18,22:19,.394,.313,.750,.250,0.0,15.4,6.9,0.0,0.0,0.0,0.0,17.3,84,124,-8.7
Cason Wallace,24:22,2,9,.222,1,7,.143,0,0,,1,1,2,0,2,0,1,3,5,-9,24:22,.278,.278,.778,.000,3.8,4.7,4.2,0.0,4.0,0.0,10.0,17.8,57,118,-10.0
Kenrich Williams,18:56,2,7,.286,0,3,.000,2,2,1.000,1,3,4,2,1,0,0,3,6,-16,18:56,.381,.286,.429,.286,4.9,18.1,10.8,18.2,2.6,0.0,0.0,18.0,96,117,-2.7
Aaron Wiggins,18:02,2,3,.667,0,0,,4,5,.800,2,1,3,0,1,0,2,1,8,-8,18:02,.769,.667,.000,1.667,10.2,6.3,8.5,0.0,2.7,0.0,27.8,17.3,118,121,-0.5
Gordon Hayward,14:24,0,3,.000,0,1,.000,0,0,,1,1,2,3,0,0,1,0,0,-10,14:24,.000,.000,.333,.000,6.4,7.9,7.1,30.3,0.0,0.0,25.0,12.0,48,127,-9.5
Jaylin Williams,8:09,0,1,.000,0,1,.000,0,0,,0,3,3,1,0,0,0,1,0,-10,8:09,.000,.000,1.000,.000,0.0,42.1,18.8,17.8,0.0,0.0,0.0,5.3,47,116,-7.0
Isaiah Joe,8:08,2,5,.400,2,4,.500,0,0,,1,0,1,0,0,0,0,0,6,-13,8:08,.600,.600,.800,.000,11.3,0.0,6.3,0.0,0.0,0.0,0.0,26.7,117,129,9.1
Lindy Waters III,6:44,2,4,.500,1,3,.333,1,1,1.000,0,0,0,0,0,0,0,0,6,-2,6:44,.676,.625,.750,.250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.6,129,129,10.0
Bismack Biyombo,5:24,0,0,,0,0,,0,2,.000,0,0,0,0,1,0,2,0,0,-1,5:24,.000,,,,0.0,0.0,0.0,0.0,9.1,0.0,69.4,23.1,0,109,-22.1
Mike Muscala,0:20,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0:20,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,129,-7.6
Olivier Sarr,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,33,89,.371,10,43,.233,17,22,.773,10,27,37,20,9,1,12,16,93,,240,.471,.427,.483,.247,19.2,64.3,39.4,60.6,9.2,1.7,10.8,100.0,95.2,120.8,
