Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Desmond Bane,32:19,6,14,.429,2,6,.333,1,1,1.000,1,2,3,3,1,0,3,2,15,-23,32:19,.519,.500,.429,.071,2.9,7.8,5.0,15.9,1.5,0.0,17.2,21.6,96,137,-7.8
Santi Aldama,31:04,2,4,.500,1,3,.333,0,0,,2,7,9,3,1,4,1,1,5,-17,31:04,.625,.625,.750,.000,5.9,28.5,15.5,13.7,1.6,10.7,20.0,6.4,125,124,1.7
GG Jackson II,30:26,6,15,.400,2,8,.250,1,1,1.000,1,2,3,2,1,0,1,0,15,-17,30:26,.486,.467,.533,.067,3.0,8.3,5.3,11.5,1.6,0.0,6.1,21.6,105,137,-4.3
Jaren Jackson Jr.,26:20,4,18,.222,1,7,.143,2,4,.500,3,1,4,5,2,4,1,4,11,-22,26:20,.278,.250,.389,.222,10.5,4.8,8.1,30.7,3.8,12.6,4.8,31.6,81,126,-2.4
Scotty Pippen Jr.,26:13,5,9,.556,3,6,.500,4,4,1.000,1,1,2,4,0,0,5,3,17,-17,26:13,.790,.722,.667,.444,3.5,4.8,4.1,26.3,0.0,0.0,31.7,24.1,111,142,-4.0
Lamar Stevens,22:56,6,10,.600,0,1,.000,7,7,1.000,1,2,3,2,1,0,0,1,19,-5,22:56,.726,.600,.100,.700,4.0,11.0,7.0,17.1,2.2,0.0,0.0,22.8,163,135,9.3
Jake LaRavia,22:54,1,9,.111,0,7,.000,1,4,.250,0,2,2,2,1,0,0,2,3,-18,22:54,.139,.111,.778,.444,0.0,11.0,4.7,12.0,2.2,0.0,0.0,18.8,46,135,-18.9
Trey Jemison,21:40,3,5,.600,0,0,,2,2,1.000,3,2,5,1,1,1,2,1,8,-3,21:40,.680,.600,.000,.400,12.8,11.7,12.3,7.3,2.3,3.8,25.4,14.6,115,132,-3.3
DeJon Jarreau,20:13,2,6,.333,1,4,.250,0,3,.000,2,2,4,3,0,0,1,1,5,-6,20:13,.342,.417,.667,.500,9.1,12.5,10.6,22.1,0.0,0.0,12.0,16.5,86,139,-9.0
Mãozinha Pereira,5:55,2,4,.500,1,2,.500,0,1,.000,3,2,5,0,1,0,0,0,5,+3,5:55,.563,.625,.500,.250,46.8,42.7,45.1,0.0,8.4,0.0,0.0,30.0,128,109,18.7
Vince Williams Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Ziaire Williams,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,37,94,.394,11,44,.250,18,27,.667,17,23,40,25,9,9,14,15,103,,240,.486,.452,.468,.287,32.7,60.5,44.4,67.6,9.3,15.5,11.7,100.0,106.6,132.4,
