Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Toumani Camara,35:14,4,9,.444,1,3,.333,3,3,1.000,3,2,5,0,2,2,4,4,12,-7,35:14,.581,.500,.333,.333,9.7,5.8,7.7,0.0,2.9,5.0,27.9,17.8,93,114,-3.4
Kris Murray,31:25,2,11,.182,0,6,.000,0,0,,2,4,6,1,2,1,0,1,4,-9,31:25,.182,.182,.545,.000,7.3,13.0,10.3,4.6,3.2,2.8,0.0,15.3,57,112,-6.9
Scoot Henderson,24:32,6,14,.429,1,5,.200,2,2,1.000,0,3,3,4,0,0,5,5,15,-11,24:32,.504,.464,.357,.143,0.0,12.5,6.6,32.3,0.0,0.0,25.2,35.5,85,121,-10.4
Duop Reath,23:59,3,8,.375,0,2,.000,2,2,1.000,1,3,4,0,0,1,0,5,8,-15,23:59,.450,.375,.250,.250,4.8,12.8,9.0,0.0,0.0,3.7,0.0,16.2,104,119,-8.0
Rayan Rupert,23:10,3,8,.375,3,4,.750,0,0,,0,4,4,1,0,0,1,3,9,+7,23:10,.563,.563,.500,.000,0.0,17.6,9.3,7.0,0.0,0.0,11.1,17.0,107,119,-3.1
Dalano Banton,38:51,11,21,.524,2,9,.222,4,4,1.000,1,10,11,5,1,2,3,1,28,-25,38:51,.615,.571,.429,.190,2.9,26.3,15.3,27.6,1.3,4.6,11.6,29.0,120,110,10.5
Jabari Walker,25:53,3,6,.500,0,1,.000,1,2,.500,1,4,5,0,0,0,0,3,7,-12,25:53,.509,.500,.167,.333,4.4,15.8,10.4,0.0,0.0,0.0,0.0,11.6,113,120,-6.6
Ashton Hagans,23:34,4,8,.500,0,3,.000,0,0,,2,2,4,3,0,0,2,2,8,-7,23:34,.500,.500,.375,.000,9.7,8.7,9.2,21.9,0.0,0.0,20.0,18.6,99,123,-5.1
Moses Brown,8:03,0,2,.000,0,0,,1,2,.500,0,1,1,0,0,0,1,1,1,-9,8:03,.174,.000,.000,1.000,0.0,12.7,6.7,0.0,0.0,0.0,25.8,21.1,29,121,-22.9
Justin Minaya,5:19,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-2,5:19,,,,,0.0,19.2,10.1,0.0,0.0,0.0,,0.0,0,118,-5.6
Ibou Badji,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Matisse Thybulle,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,36,87,.414,7,33,.212,13,15,.867,10,34,44,14,5,6,16,25,92,,240,.491,.454,.379,.172,23.8,72.3,49.4,38.9,5.3,11.1,14.6,100.0,96.6,115.5,
