Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Shai Gilgeous-Alexander,38:15,9,20,.450,1,3,.333,5,6,.833,2,3,5,8,2,0,0,1,24,+14,38:15,.530,.475,.150,.300,6.4,8.8,7.7,28.9,2.6,0.0,0.0,27.3,129,114,5.2
Jalen Williams,34:07,9,18,.500,3,6,.500,5,5,1.000,1,1,2,5,0,1,2,4,26,+8,34:07,.644,.583,.333,.278,3.6,3.3,3.4,21.1,0.0,2.9,9.0,30.0,127,118,3.0
Chet Holmgren,33:29,7,13,.538,1,6,.167,1,2,.500,0,9,9,4,0,2,1,3,16,+16,33:29,.576,.577,.462,.154,0.0,30.0,15.7,15.9,0.0,6.0,6.7,20.5,117,112,2.6
Luguentz Dort,32:25,2,6,.333,1,4,.250,1,1,1.000,2,4,6,1,1,0,3,3,6,+7,32:25,.466,.417,.667,.167,7.6,13.8,10.8,3.4,1.5,0.0,31.8,13.4,81,116,-7.5
Josh Giddey,30:43,10,14,.714,5,8,.625,0,0,,1,8,9,4,0,0,3,1,25,+9,30:43,.893,.893,.571,.000,4.0,29.1,17.2,20.6,0.0,0.0,17.6,25.5,140,117,12.7
Kenrich Williams,18:05,3,4,.750,0,1,.000,0,0,,1,2,3,2,1,0,0,1,6,+4,18:05,.750,.750,.250,.000,6.8,12.3,9.7,14.0,2.7,0.0,0.0,10.2,168,113,6.5
Isaiah Joe,16:13,2,4,.500,2,4,.500,0,0,,0,3,3,2,1,0,0,1,6,+3,16:13,.750,.750,1.000,.000,0.0,20.7,10.8,14.8,3.0,0.0,0.0,11.4,157,111,8.7
Jaylin Williams,13:31,1,1,1.000,1,1,1.000,0,0,,0,7,7,2,0,0,3,2,3,-7,13:31,1.500,1.500,1.000,.000,0.0,57.8,30.3,16.7,0.0,0.0,75.0,13.6,73,113,-0.9
Cason Wallace,13:12,3,4,.750,1,1,1.000,0,0,,0,1,1,0,0,0,0,1,7,0,13:12,.875,.875,.250,.000,0.0,8.5,4.4,0.0,0.0,0.0,0.0,14.0,163,120,2.7
Gordon Hayward,10:00,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-19,10:00,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,0,121,-15.4
Bismack Biyombo,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Mike Muscala,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Olivier Sarr,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Lindy Waters III,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Aaron Wiggins,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,46,86,.535,15,34,.441,12,14,.857,7,38,45,28,5,3,12,17,119,,240,.646,.622,.395,.163,17.9,88.4,54.9,60.9,5.1,6.3,11.5,100.0,122.5,115.3,
