Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
DeMar DeRozan,37:41,9,18,.500,1,4,.250,8,10,.800,1,5,6,2,1,0,0,3,27,+19,37:41,.603,.528,.222,.556,3.1,12.0,8.1,6.8,1.3,0.0,0.0,25.3,137,107,1.9
Coby White,35:07,8,21,.381,2,5,.400,0,0,,3,4,7,2,1,0,0,1,18,0,35:07,.429,.429,.238,.000,10.0,10.3,10.2,7.2,1.4,0.0,0.0,25.4,108,107,-4.0
Ayo Dosunmu,33:57,7,11,.636,3,5,.600,0,0,,0,3,3,4,0,2,2,3,17,+14,33:57,.773,.773,.455,.000,0.0,8.0,4.5,14.5,0.0,6.6,15.4,16.3,135,108,4.8
Alex Caruso,28:59,5,10,.500,2,5,.400,0,0,,2,5,7,7,2,0,0,1,12,+23,28:59,.600,.600,.500,.000,8.1,15.6,12.3,28.5,3.5,0.0,0.0,14.7,154,100,11.6
Nikola Vučević,28:33,9,20,.450,1,4,.250,3,3,1.000,3,9,12,2,0,1,0,1,22,+2,28:33,.516,.475,.200,.150,12.3,28.5,21.5,9.9,0.0,3.9,0.0,31.7,124,101,2.5
Javonte Green,19:19,2,3,.667,1,1,1.000,0,0,,0,4,4,1,0,1,2,2,5,+26,19:19,.833,.833,.333,.000,0.0,18.8,10.6,5.6,0.0,5.8,40.0,11.0,94,104,-3.0
Andre Drummond,17:30,5,8,.625,0,0,,4,5,.800,4,7,11,3,3,0,1,2,14,+23,17:30,.686,.625,.000,.625,26.8,36.2,32.1,23.3,8.6,0.0,8.9,27.2,149,80,20.2
Torrey Craig,16:57,3,5,.600,1,2,.500,0,0,,0,2,2,1,0,0,0,3,7,+7,16:57,.700,.700,.400,.000,0.0,10.7,6.0,7.0,0.0,0.0,0.0,12.5,150,110,-0.7
Dalen Terry,13:25,0,1,.000,0,0,,0,0,,0,2,2,4,0,1,2,2,0,+12,13:25,.000,.000,.000,.000,0.0,13.5,7.6,29.2,0.0,8.3,66.7,9.5,63,104,-3.8
Jevon Carter,4:38,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2,4:38,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,115,-7.6
Onuralp Bitim,1:57,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,0,0,3,+1,1:57,1.500,1.500,1.000,.000,0.0,0.0,0.0,100.0,0.0,0.0,0.0,21.8,282,115,67.4
Terry Taylor,1:57,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,+1,1:57,,,,,0.0,0.0,0.0,50.2,0.0,0.0,,0.0,224,113,6.8
Team Totals,240,49,98,.500,12,27,.444,15,18,.833,13,41,54,28,7,5,7,19,125,,240,.590,.561,.276,.184,31.7,77.4,57.4,57.1,7.4,11.6,6.2,100.0,131.3,104.0,
