Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Gary Trent Jr.,30:36,6,11,.545,1,2,.500,5,6,.833,0,2,2,6,0,0,1,0,18,-32,30:36,.660,.591,.182,.545,0.0,9.8,4.5,31.8,0.0,0.0,6.8,21.3,140,162,-1.1
Gradey Dick,30:21,10,18,.556,3,6,.500,0,0,,1,0,1,0,0,0,0,1,23,-26,30:21,.639,.639,.333,.000,4.2,0.0,2.3,0.0,0.0,0.0,0.0,26.4,127,165,-4.3
Javon Freeman-Liberty,28:27,5,9,.556,1,4,.250,3,3,1.000,2,3,5,3,0,0,3,2,14,-19,28:27,.678,.611,.444,.333,8.9,15.8,12.1,16.6,0.0,0.0,22.5,20.9,115,160,-7.6
Kelly Olynyk,27:25,5,9,.556,1,4,.250,2,2,1.000,2,5,7,8,0,0,3,4,13,-20,27:25,.658,.611,.444,.222,9.2,27.4,17.5,46.3,0.0,0.0,23.3,20.9,124,156,-1.7
Ochai Agbaji,5:24,0,1,.000,0,0,,0,0,,1,0,1,1,0,0,1,0,0,-8,5:24,.000,.000,.000,.000,23.4,0.0,12.7,22.8,0.0,0.0,50.0,16.5,53,165,-19.3
Garrett Temple,26:54,5,10,.500,3,6,.500,2,2,1.000,3,3,6,2,2,0,1,2,15,-14,26:54,.689,.650,.600,.200,14.1,16.7,15.3,11.9,3.9,0.0,8.4,19.7,137,150,2.8
Kobi Simmons,24:22,1,6,.167,0,3,.000,0,0,,0,1,1,6,3,1,0,3,2,-25,24:22,.167,.167,.500,.000,0.0,6.2,2.8,31.9,6.4,3.9,0.0,11.0,91,146,-5.4
Bruce Brown,20:13,1,3,.333,1,2,.500,0,0,,0,0,0,1,0,0,2,1,3,-19,20:13,.500,.500,.667,.000,0.0,0.0,0.0,6.5,0.0,0.0,40.0,11.0,64,165,-17.7
Jordan Nwora,18:32,3,6,.500,1,2,.500,0,0,,0,3,3,3,2,1,2,0,7,-20,18:32,.583,.583,.333,.000,0.0,24.3,11.1,24.9,5.6,5.2,25.0,19.2,97,142,1.4
Jalen McDaniels,16:27,2,7,.286,0,2,.000,0,0,,0,0,0,0,0,1,3,3,4,-27,16:27,.286,.286,.286,.000,0.0,0.0,0.0,0.0,0.0,5.8,30.0,27.1,40,163,-31.2
Mouhamadou Gueye,11:19,1,4,.250,0,0,,0,0,,2,0,2,1,0,1,2,1,2,-10,11:19,.250,.250,.000,.000,22.3,0.0,12.1,12.2,0.0,8.5,33.3,23.6,61,162,-22.0
Chris Boucher,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,39,84,.464,11,31,.355,12,13,.923,11,17,28,31,7,4,18,17,101,,240,.563,.530,.369,.155,28.9,53.1,40.0,79.5,7.6,8.0,16.7,100.0,109.1,156.7,
