Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Anthony Davis,37:30,9,17,.529,0,1,.000,6,7,.857,4,11,15,3,0,0,3,0,24,-12,37:30,.598,.529,.059,.412,10.2,32.0,20.4,16.4,0.0,0.0,13.0,26.9,112,113,6.1
Austin Reaves,36:11,7,16,.438,1,7,.143,1,1,1.000,1,12,13,6,1,0,5,2,16,-15,36:11,.487,.469,.438,.063,2.7,36.2,18.3,31.0,1.4,0.0,23.3,25.9,83,109,-0.8
D'Angelo Russell,35:03,3,14,.214,0,6,.000,0,0,,0,3,3,5,1,1,0,3,6,-17,35:03,.214,.214,.429,.000,0.0,9.3,4.4,22.2,1.4,2.4,0.0,17.4,62,111,-7.2
LeBron James,34:41,6,12,.500,0,3,.000,4,4,1.000,1,9,10,8,0,0,5,1,16,-13,34:41,.581,.500,.250,.333,2.8,28.3,14.7,41.5,0.0,0.0,26.7,23.6,98,113,1.5
Rui Hachimura,31:17,5,10,.500,2,4,.500,2,2,1.000,0,0,0,0,0,0,0,2,14,-15,31:17,.643,.600,.400,.200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,126,118,0.1
Spencer Dinwiddie,20:30,1,6,.167,1,5,.200,2,4,.500,0,1,1,0,1,0,2,4,5,-6,20:30,.322,.250,.833,.667,0.0,5.3,2.5,0.0,2.4,0.0,20.5,20.8,53,111,-13.7
Taurean Prince,14:35,2,5,.400,1,3,.333,0,0,,0,0,0,0,0,0,1,0,5,-4,14:35,.500,.500,.600,.000,0.0,0.0,0.0,0.0,0.0,0.0,16.7,18.0,77,118,-5.9
Cam Reddish,13:19,0,2,.000,0,0,,0,0,,3,1,4,0,0,2,0,1,0,-6,13:19,.000,.000,.000,.000,21.6,8.2,15.3,0.0,0.0,12.4,0.0,6.6,74,104,1.3
Jaxson Hayes,10:30,1,1,1.000,0,0,,0,0,,1,1,2,2,0,0,0,1,2,-7,10:30,1.000,1.000,.000,.000,9.1,10.4,9.7,30.0,0.0,0.0,0.0,4.2,207,116,7.1
Max Christie,2:08,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,0,2:08,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,118,-7.1
Colin Castleton,2:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,2:08,.500,.500,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.9,94,118,0.5
Maxwell Lewis,2:08,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,0,2:08,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,0,118,-23.0
Team Totals,240,35,86,.407,5,30,.167,15,18,.833,10,38,48,24,3,3,16,14,90,,240,.479,.436,.349,.209,20.0,86.4,51.1,68.6,3.1,5.2,14.6,100.0,92.7,112.3,
