Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Anthony Edwards,39:20,8,19,.421,0,8,.000,9,10,.900,1,3,4,5,3,0,2,2,25,+11,39:20,.534,.421,.421,.526,3.1,8.0,5.7,21.6,4.0,0.0,7.9,31.9,110,105,1.8
Rudy Gobert,34:48,7,8,.875,0,0,,7,15,.467,3,9,12,2,0,3,0,5,21,+1,34:48,.719,.875,.000,1.875,10.6,27.0,19.5,9.7,0.0,6.9,0.0,20.7,151,101,7.5
Naz Reid,33:09,2,12,.167,0,5,.000,3,4,.750,0,6,6,2,2,0,1,3,7,+14,33:09,.254,.167,.417,.333,0.0,18.9,10.2,8.2,3.1,0.0,6.8,22.0,59,102,-12.0
Mike Conley,31:55,8,12,.667,5,6,.833,2,2,1.000,0,3,3,8,0,0,2,3,23,+6,31:55,.893,.875,.500,.167,0.0,9.8,5.3,46.3,0.0,0.0,13.4,23.0,152,112,12.7
Jaden McDaniels,30:57,7,10,.700,1,3,.333,2,2,1.000,0,3,3,3,1,0,0,2,17,+9,30:57,.781,.750,.300,.200,0.0,10.1,5.5,17.1,1.7,0.0,0.0,17.3,157,109,7.9
Kyle Anderson,26:31,1,3,.333,0,0,,3,4,.750,0,3,3,7,0,2,1,3,5,+15,26:31,.525,.333,.000,1.333,0.0,11.8,6.4,35.0,0.0,6.0,17.4,10.7,127,108,4.0
Nickeil Alexander-Walker,16:42,2,6,.333,2,4,.500,0,0,,1,0,1,0,0,1,1,1,6,+6,16:42,.500,.500,.667,.000,7.4,0.0,3.4,0.0,0.0,4.8,14.3,20.7,87,113,-4.3
Jordan McLaughlin,12:58,2,2,1.000,1,1,1.000,0,0,,0,4,4,1,0,0,0,1,5,+6,12:58,1.250,1.250,.500,.000,0.0,32.2,17.4,12.1,0.0,0.0,0.0,7.6,244,103,6.5
Monte Morris,10:36,1,2,.500,0,1,.000,0,0,,1,1,2,0,0,0,0,0,2,+5,10:36,.500,.500,.500,.000,11.6,9.8,10.7,0.0,0.0,0.0,0.0,9.3,122,113,-4.4
Luka Garza,0:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,0:46,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,116,-7.1
Leonard Miller,0:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,0:46,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,116,-7.9
Josh Minott,0:46,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,-2,0:46,,,,,0.0,0.0,0.0,0.0,0.0,100.0,,0.0,0,54,58.4
Wendell Moore Jr.,0:46,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-2,0:46,,,,,0.0,100.0,73.7,0.0,0.0,0.0,,0.0,0,63,3.5
T.J. Warren,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,38,74,.514,9,28,.321,26,37,.703,6,33,39,28,6,7,7,20,111,,240,.615,.574,.378,.500,15.4,71.7,45.9,73.7,6.5,11.7,7.2,100.0,120.2,106.1,
