Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kevin Durant,30:53,10,17,.588,4,7,.571,2,3,.667,0,6,6,1,1,1,3,2,26,-15,30:53,.710,.706,.412,.176,0.0,28.3,12.1,6.6,1.7,2.7,14.1,30.8,115,135,5.3
Bradley Beal,30:30,6,13,.462,3,5,.600,0,0,,2,1,3,2,1,1,1,1,15,-18,30:30,.577,.577,.385,.000,7.2,4.8,6.1,10.6,1.7,2.8,7.1,20.5,119,138,0.5
Grayson Allen,28:24,6,16,.375,1,9,.111,0,0,,4,5,9,5,1,0,2,0,13,-14,28:24,.406,.406,.563,.000,15.4,25.6,19.8,29.3,1.8,0.0,11.1,28.3,100,137,-3.5
Devin Booker,27:13,4,9,.444,0,2,.000,6,7,.857,0,3,3,5,0,0,3,5,14,-17,27:13,.579,.444,.222,.778,0.0,16.0,6.9,27.6,0.0,0.0,19.9,24.7,111,143,-9.3
Jusuf Nurkić,23:00,2,4,.500,0,0,,1,2,.500,2,1,3,3,0,1,2,2,5,-22,23:00,.512,.500,.000,.500,9.5,6.3,8.1,18.0,0.0,3.7,29.1,13.3,100,141,-7.0
Royce O'Neale,21:44,2,5,.400,1,3,.333,0,0,,1,1,2,3,1,0,0,0,5,-16,21:44,.500,.500,.600,.000,5.0,6.7,5.7,19.2,2.4,0.0,0.0,10.3,135,138,0.3
Eric Gordon,21:35,2,10,.200,1,8,.125,1,1,1.000,0,2,2,2,2,0,1,1,6,-12,21:35,.287,.250,.800,.100,0.0,13.5,5.8,12.9,4.8,0.0,8.7,23.6,70,132,-11.6
Josh Okogie,13:32,1,2,.500,1,2,.500,2,2,1.000,1,1,2,1,0,1,1,2,5,-1,13:32,.868,.750,1.000,1.000,8.1,10.7,9.2,10.0,0.0,6.2,25.8,12.8,141,138,0.9
Bol Bol,13:19,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,-6,13:19,,,,,0.0,10.9,4.7,9.2,0.0,0.0,,0.0,233,143,-8.6
Nassir Little,7:34,3,4,.750,1,2,.500,0,0,,0,1,1,1,0,0,0,0,7,+1,7:34,.875,.875,.500,.000,0.0,19.2,8.2,31.8,0.0,0.0,0.0,23.6,171,142,17.4
Isaiah Thomas,7:34,2,4,.500,1,2,.500,0,0,,0,0,0,1,0,0,0,0,5,+1,7:34,.333,.333,.333,.000,14.4,38.4,24.7,19.4,0.0,0.0,0.0,17.7,105,139,-5.4
David Roddy,7:34,1,3,.333,0,1,.000,0,0,,1,2,3,1,0,0,0,0,2,+1,7:34,.625,.625,.500,.000,0.0,0.0,0.0,24.1,0.0,0.0,0.0,23.6,136,145,2.0
Drew Eubanks,7:08,0,0,,0,0,,0,0,,2,2,4,0,0,2,1,1,0,-7,7:08,,,,,30.6,40.8,35.0,0.0,0.0,23.6,100.0,6.3,80,118,-4.5
Udoka Azubuike,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Thaddeus Young,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,39,87,.448,13,41,.317,12,15,.800,13,26,39,26,6,6,14,15,103,,240,.550,.523,.471,.172,29.5,78.8,50.6,66.7,6.5,10.5,13.0,100.0,110.9,137.8,
