Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kris Murray,42:11,4,10,.400,3,8,.375,0,0,,1,4,5,4,0,0,4,2,11,-49,42:11,.550,.550,.800,.000,2.4,11.7,6.5,14.9,0.0,0.0,28.6,13.9,85,143,-7.1
Scoot Henderson,41:07,8,18,.444,1,5,.200,3,5,.600,1,5,6,6,2,1,7,1,20,-58,41:07,.495,.472,.278,.278,2.4,15.0,8.1,27.3,2.3,2.2,25.7,27.7,81,135,-5.0
Jabari Walker,34:30,1,6,.167,0,2,.000,2,3,.667,1,2,3,2,0,0,1,2,4,-38,34:30,.273,.167,.333,.500,2.9,7.1,4.8,8.3,0.0,0.0,12.0,10.1,67,143,-12.3
Rayan Rupert,26:25,3,6,.500,0,1,.000,0,0,,2,2,4,3,1,0,3,5,6,-38,26:25,.500,.500,.167,.000,7.6,9.3,8.4,18.4,1.8,0.0,33.3,14.2,81,138,-9.5
Deandre Ayton,24:43,9,15,.600,0,1,.000,0,0,,1,7,8,1,1,0,1,1,18,-32,24:43,.600,.600,.067,.000,4.0,34.9,17.9,11.1,1.9,0.0,6.3,27.1,110,136,4.0
Dalano Banton,30:10,5,19,.263,1,7,.143,1,1,1.000,2,7,9,2,0,0,5,2,12,-44,30:10,.309,.289,.368,.053,6.6,28.6,16.5,11.8,0.0,0.0,20.5,33.9,57,141,-17.4
Duop Reath,14:06,3,8,.375,0,4,.000,0,0,,0,2,2,0,0,0,1,0,6,-12,14:06,.375,.375,.500,.000,0.0,17.5,7.8,0.0,0.0,0.0,11.1,26.7,66,142,-13.5
Justin Minaya,10:33,1,2,.500,0,0,,0,0,,1,1,2,0,0,1,1,3,2,-5,10:33,.500,.500,.000,.000,9.5,11.7,10.5,0.0,0.0,8.6,33.3,11.9,73,134,-11.4
Ibou Badji,9:11,1,1,1.000,0,0,,1,2,.500,1,2,3,0,0,0,0,2,3,-16,9:11,.798,1.000,.000,2.000,10.9,26.8,18.0,0.0,0.0,0.0,0.0,8.6,165,141,-5.3
Matisse Thybulle,7:04,0,2,.000,0,2,.000,0,0,,0,1,1,2,0,0,0,1,0,-8,7:04,.000,.000,1.000,.000,0.0,17.4,7.8,38.8,0.0,0.0,0.0,11.8,45,142,-12.7
Shaedon Sharpe,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Anfernee Simons,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,35,87,.402,5,30,.167,7,11,.636,10,33,43,20,4,2,23,19,82,,240,.446,.431,.345,.126,20.8,84.6,49.4,57.1,3.9,3.8,20.0,100.0,80.5,139.4,
