Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jayson Tatum,35:30,10,17,.588,3,6,.500,0,0,,1,8,9,4,0,0,4,1,23,+8,35:30,.676,.676,.353,.000,3.5,20.4,13.2,21.2,0.0,0.0,19.0,28.6,109,106,3.2
Jrue Holiday,35:19,5,10,.500,3,6,.500,0,0,,1,7,8,7,2,1,3,2,13,+8,35:19,.650,.650,.600,.000,3.5,18.0,11.8,29.5,3.0,2.7,23.1,17.8,117,97,7.9
Jaylen Brown,35:00,6,16,.375,3,4,.750,2,2,1.000,2,5,7,6,1,1,2,2,17,+4,35:00,.504,.469,.250,.125,7.0,12.9,10.4,26.7,1.5,2.7,10.6,26.1,110,102,3.4
Derrick White,31:35,5,9,.556,3,7,.429,2,2,1.000,1,2,3,3,0,0,0,1,15,+9,31:35,.759,.722,.778,.222,3.9,5.7,5.0,14.5,0.0,0.0,0.0,15.1,160,111,5.7
Kristaps Porziņģis,31:28,6,14,.429,1,6,.167,6,6,1.000,0,10,10,3,2,4,2,4,19,+12,31:28,.571,.464,.429,.429,0.0,28.8,16.6,15.3,3.4,12.0,10.7,28.6,111,85,8.1
Al Horford,30:03,4,7,.571,1,3,.333,0,0,,0,6,6,2,1,1,0,1,9,+8,30:03,.643,.643,.429,.000,0.0,18.1,10.4,9.8,1.8,3.1,0.0,11.3,135,100,4.5
Payton Pritchard,17:05,1,3,.333,0,2,.000,0,0,,2,1,3,0,0,0,1,1,2,+3,17:05,.333,.333,.667,.000,14.4,5.3,9.2,0.0,0.0,0.0,25.0,11.3,80,110,-11.4
Sam Hauser,13:32,1,3,.333,1,3,.333,0,0,,0,3,3,1,1,0,0,1,3,+1,13:32,.500,.500,1.000,.000,0.0,20.1,11.6,10.0,3.9,0.0,0.0,10.7,114,96,2.9
Xavier Tillman Sr.,10:28,1,3,.333,0,0,,1,2,.500,1,1,2,1,0,0,0,0,3,+7,10:28,.387,.333,.000,.667,11.8,8.7,10.0,13.3,0.0,0.0,0.0,17.9,108,110,-3.8
Oshae Brissett,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Luke Kornet,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Svi Mykhailiuk,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,39,82,.476,15,37,.405,11,12,.917,8,43,51,27,7,7,12,13,104,,240,.596,.567,.451,.146,20.5,81.1,55.4,69.2,7.7,13.7,12.1,100.0,114.9,101.6,
