Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Bam Adebayo,37:20,6,12,.500,0,2,.000,10,12,.833,0,10,10,5,2,1,5,2,22,+10,37:20,.637,.500,.167,1.000,0.0,29.9,15.3,19.9,2.5,2.6,22.4,26.8,109,103,-0.3
Terry Rozier,35:03,11,19,.579,5,11,.455,0,0,,0,4,4,2,4,1,0,1,27,+20,35:03,.711,.711,.579,.000,0.0,12.7,6.5,11.0,5.4,2.7,0.0,24.4,137,100,11.7
Jimmy Butler,34:52,5,11,.455,0,0,,7,9,.778,2,5,7,4,0,0,0,1,17,-2,34:52,.568,.455,.000,.818,6.7,16.0,11.5,16.6,0.0,0.0,0.0,19.3,134,113,-2.9
Duncan Robinson,28:05,2,7,.286,2,7,.286,0,0,,1,2,3,1,0,1,1,4,6,-6,28:05,.429,.429,1.000,.000,4.2,7.9,6.1,4.7,0.0,3.4,12.5,12.8,87,112,-10.2
Nikola Jović,22:27,4,9,.444,2,6,.333,2,2,1.000,2,6,8,4,1,1,0,2,12,+22,22:27,.607,.556,.667,.222,10.4,29.8,20.4,27.2,2.1,4.3,0.0,19.8,144,103,8.9
Haywood Highsmith,29:19,4,12,.333,2,6,.333,0,0,,1,3,4,0,0,1,1,4,10,0,29:19,.417,.417,.500,.000,4.0,11.4,7.8,0.0,0.0,3.3,7.7,19.9,80,111,-12.4
Delon Wright,21:17,2,2,1.000,1,1,1.000,4,4,1.000,0,1,1,4,4,1,0,2,9,+3,21:17,1.197,1.250,.500,2.000,0.0,5.2,2.7,25.4,8.9,4.5,0.0,7.9,246,92,20.0
Jaime Jaquez Jr.,19:18,3,5,.600,1,2,.500,2,2,1.000,0,1,1,2,0,1,4,0,9,+2,19:18,.765,.700,.400,.400,0.0,5.8,3.0,15.3,0.0,5.0,40.5,23.0,92,111,-5.2
Thomas Bryant,10:07,2,3,.667,0,0,,0,0,,0,3,3,0,0,1,2,3,4,-1,10:07,.667,.667,.000,.000,0.0,33.1,16.9,0.0,0.0,9.5,40.0,22.2,68,102,-14.2
Jamal Cain,0:32,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,+3,0:32,1.500,1.500,1.000,.000,0.0,100.0,100.0,0.0,0.0,0.0,0.0,84.3,300,79,183.7
Orlando Robinson,0:32,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+3,0:32,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,116,-8.9
Cole Swider,0:32,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+3,0:32,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,116,-8.3
Alondes Williams,0:32,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+3,0:32,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,116,-7.0
Kevin Love,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Patty Mills,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,40,81,.494,14,36,.389,25,29,.862,6,36,42,22,11,8,13,19,119,,240,.635,.580,.444,.358,14.6,83.7,50.0,55.0,10.9,16.0,12.2,100.0,117.7,105.8,
