Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Shai Gilgeous-Alexander,34:52,7,16,.438,1,4,.250,4,4,1.000,1,1,2,3,1,0,2,4,19,-15,34:52,.535,.469,.250,.250,3.4,2.8,3.1,12.0,1.4,0.0,10.1,26.0,108,122,-6.1
Jalen Williams,34:06,14,18,.778,1,4,.250,4,8,.500,0,4,4,8,2,2,1,1,33,+6,34:06,.767,.806,.222,.444,0.0,11.5,6.3,46.4,2.9,5.7,4.4,30.3,154,113,20.6
Josh Giddey,30:54,7,11,.636,2,3,.667,0,2,.000,1,12,13,12,1,2,2,2,16,+11,30:54,.673,.727,.273,.182,3.9,38.0,22.7,56.3,1.6,6.3,14.4,20.6,141,104,18.7
Luguentz Dort,28:46,1,5,.200,1,5,.200,1,4,.250,0,1,1,1,0,0,1,5,4,0,28:46,.296,.300,1.000,.800,0.0,3.4,1.9,3.9,0.0,0.0,12.9,12.4,61,125,-14.6
Chet Holmgren,26:13,2,8,.250,1,6,.167,0,2,.000,1,4,5,0,0,1,3,4,5,-10,26:13,.282,.313,.750,.250,4.6,14.9,10.3,0.0,0.0,3.7,25.3,20.8,48,118,-19.6
Jaylin Williams,18:32,2,4,.500,1,1,1.000,3,4,.750,2,6,8,2,0,1,1,2,8,0,18:32,.694,.625,.250,1.000,12.9,31.7,23.3,13.3,0.0,5.3,14.8,16.7,139,110,4.8
Isaiah Joe,15:37,2,3,.667,2,3,.667,0,0,,0,2,2,0,0,0,1,0,6,+4,15:37,1.000,1.000,1.000,.000,0.0,12.5,6.9,0.0,0.0,0.0,25.0,11.8,119,122,0.1
Cason Wallace,15:35,2,3,.667,2,2,1.000,0,0,,0,2,2,0,0,0,0,1,6,-3,15:35,1.000,1.000,.667,.000,0.0,12.6,6.9,0.0,0.0,0.0,0.0,8.8,181,121,2.3
Aaron Wiggins,13:51,2,5,.400,0,2,.000,0,0,,2,1,3,2,1,1,1,2,4,+13,13:51,.400,.400,.400,.000,17.3,7.1,11.7,18.7,3.6,7.1,16.7,19.9,101,112,-0.6
Gordon Hayward,11:10,2,5,.400,1,2,.500,0,0,,1,0,1,0,1,0,0,1,5,-10,11:10,.500,.500,.400,.000,10.7,0.0,4.8,0.0,4.5,0.0,0.0,20.6,110,117,-1.2
Kenrich Williams,10:24,3,4,.750,1,2,.500,0,0,,1,1,2,1,0,1,0,1,7,+9,10:24,.875,.875,.500,.000,11.5,9.4,10.4,15.3,0.0,9.4,0.0,17.7,177,118,15.3
Bismack Biyombo,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Mike Muscala,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,44,82,.537,13,34,.382,12,24,.500,9,34,43,29,6,8,12,23,113,,240,.610,.616,.415,.293,22.5,69.4,48.3,65.9,6.2,16.3,11.5,100.0,117.5,116.4,
