,Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP.1,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Games Played
Nikola Jokić,Nikola Jokić,36:16,10.285714285714288,17.642857142857142,0.5829959514170042,1.0535714285714282,3.0,0.35119047619047605,4.517857142857143,5.553571428571428,0.8135048231511256,2.9285714285714284,9.33928571428572,12.267857142857142,9.267857142857148,1.2142857142857142,0.9107142857142857,2.910714285714285,2.5714285714285716,26.142857142857142,7.375,36:16,0.6507592190889371,0.6128542510121459,0.17435714285714288,0.32446428571428576,9.258928571428571,29.578571428571422,19.632142857142863,44.39642857142859,1.8910714285714292,2.3321428571428577,12.625,28.57857142857144,133.73214285714283,110.19642857142857,13.880357142857141,56
Kentavious Caldwell-Pope,Kentavious Caldwell-Pope,36:15,3.4150943396226414,7.7924528301886795,0.4382566585956416,1.4150943396226414,3.7735849056603774,0.37499999999999994,1.6415094339622642,1.7924528301886793,0.9157894736842106,0.4339622641509434,1.9245283018867925,2.358490566037735,2.3396226415094343,1.283018867924528,0.4339622641509434,0.9622641509433961,1.8490566037735854,9.88679245283019,7.320754716981132,36:15,0.5760773966578716,0.5290556900726392,0.4858867924528302,0.26524528301886796,1.8509433962264155,7.720754716981131,4.918867924528301,10.05660377358491,1.7188679245283018,1.1698113207547167,9.837735849056601,13.962264150943401,118.16981132075472,117.58490566037736,-2.4075471698113207,53
Aaron Gordon,Aaron Gordon,34:59,5.4615384615384635,9.903846153846153,0.5514563106796119,0.5576923076923077,1.8846153846153846,0.29591836734693877,2.3461538461538463,3.673076923076923,0.6387434554973822,2.4038461538461546,4.076923076923078,6.480769230769231,3.1346153846153846,0.8269230769230769,0.6923076923076923,1.4615384615384615,1.9038461538461537,13.826923076923077,5.480769230769231,34:59,0.6001268696581197,0.5796116504854372,0.19555769230769235,0.40323076923076917,8.496153846153849,13.615384615384615,11.121153846153845,13.85192307692308,1.334615384615385,1.8942307692307692,11.21923076923077,17.982692307692304,123.59615384615384,115.92307692307692,0.7730769230769228,52
Jamal Murray,Jamal Murray,34:15,7.761904761904762,16.452380952380945,0.47178002894356025,2.380952380952382,5.809523809523809,0.40983606557377067,2.6904761904761907,3.1428571428571423,0.8560606060606063,0.6666666666666666,3.261904761904762,3.9285714285714284,6.404761904761905,0.8333333333333334,0.7142857142857143,2.0476190476190474,1.904761904761905,20.5952380952381,4.285714285714286,34:15,0.5773749132268919,0.5441389290882781,0.3537380952380953,0.18909523809523807,2.452380952380952,11.530952380952384,7.097619047619048,29.04047619047619,1.3452380952380951,1.878571428571429,10.350000000000003,27.516666666666683,117.64285714285714,116.97619047619048,3.1642857142857146,42
Michael Porter Jr.,Michael Porter Jr.,30:08,6.245614035087719,13.192982456140351,0.4734042553191489,2.7017543859649122,6.912280701754386,0.39086294416243655,1.0526315789473686,1.2982456140350873,0.8108108108108112,1.4035087719298247,5.666666666666667,7.0701754385964914,1.4385964912280702,0.45614035087719296,0.7017543859649122,1.070175438596491,1.8947368421052637,16.24561403508772,5.4035087719298245,30:08,0.5901396961354135,0.5757978723404256,0.5242280701754387,0.10235087719298246,5.231578947368422,19.389473684210536,12.345614035087722,6.410526315789471,0.7140350877192982,1.863157894736842,7.631578947368424,20.531578947368423,114.15789473684211,115.84210526315789,-0.7842105263157897,57
Reggie Jackson,Reggie Jackson,24:04,4.27586206896552,9.43103448275862,0.4533820840950643,1.2586206896551724,3.4827586206896557,0.3613861386138613,0.8965517241379313,1.1551724137931036,0.7761194029850746,0.39655172413793105,1.6379310344827587,2.03448275862069,3.9482758620689653,0.5689655172413793,0.1551724137931035,1.3275862068965518,1.8275862068965518,10.70689655172414,0.6724137931034484,24:04,0.5386136552872609,0.5201096892138943,0.3709137931034484,0.14844827586206896,1.9241379310344828,7.813793103448273,4.867241379310341,24.606896551724137,1.2965517241379316,0.5293103448275862,12.777586206896554,21.55172413793104,107.10344827586206,118.72413793103448,-3.3000000000000003,58
Christian Braun,Christian Braun,19:20,2.5344827586206895,5.775862068965518,0.43880597014925365,0.6551724137931033,1.8275862068965518,0.35849056603773577,1.2586206896551726,1.7586206896551724,0.715686274509804,0.8793103448275862,2.6724137931034484,3.551724137931035,1.396551724137931,0.43103448275862066,0.3793103448275862,0.6724137931034483,1.5172413793103448,6.982758620689655,-1.5862068965517244,19:20,0.533063072549226,0.4955223880597014,0.34593103448275836,0.33984482758620693,5.224137931034484,14.83103448275862,10.07413793103448,8.81551724137931,1.0810344827586207,1.563793103448276,9.008620689655176,16.32758620689655,106.8103448275862,116.63793103448276,-3.7793103448275844,58
Zeke Nnaji,Zeke Nnaji,11:44,1.2790697674418603,2.7674418604651168,0.4621848739495797,0.11627906976744186,0.4418604651162791,0.2631578947368421,0.8372093023255814,1.1860465116279069,0.7058823529411766,1.186046511627907,1.0232558139534884,2.2093023255813957,0.6046511627906977,0.2558139534883721,0.627906976744186,0.5813953488372093,1.4651162790697674,3.511627906976744,-3.372093023255814,11:44,0.5337952488687782,0.48319327731092426,0.14266755813953483,0.3943541085271319,12.683720930232555,11.172093023255815,12.011627906976743,8.141860465116281,1.2279069767441864,4.011627906976746,16.970360465116276,17.16046511627907,95.34883720930233,114.6046511627907,-7.279069767441857,43
Peyton Watson,Peyton Watson,10:50,2.607142857142857,5.5,0.474025974025974,0.7142857142857143,2.071428571428571,0.3448275862068966,0.9642857142857142,1.4107142857142858,0.6835443037974682,0.6607142857142857,2.267857142857143,2.9285714285714284,1.017857142857143,0.5535714285714285,0.9464285714285715,0.75,1.75,6.892857142857143,-0.9642857142857144,10:50,0.5630762049247288,0.538961038961039,0.33075,0.3211785714285713,4.242857142857142,12.485714285714291,8.57678571428571,7.146428571428571,1.3732142857142862,4.687499999999999,11.128571428571428,16.264285714285712,107.125,113.69642857142857,-2.455357142857142,56
Jalen Pickett,Jalen Pickett,0:43,0.631578947368421,1.5263157894736843,0.4137931034482758,0.3684210526315789,1.105263157894737,0.33333333333333326,0.15789473684210525,0.21052631578947367,0.75,0.05263157894736842,0.5263157894736842,0.5789473684210527,0.6842105263157895,0.15789473684210525,0.0,0.3157894736842105,0.47368421052631576,1.7894736842105263,-0.47368421052631576,0:43,0.5526657997399219,0.5344827586206896,,,0.8526315789473684,6.5894736842105255,3.9,18.810526315789474,0.6842105263157895,1.368421052631579,,11.942105263157895,84.89473684210526,119.42105263157895,-4.5736842105263165,19
Collin Gillespie,Collin Gillespie,0:43,1.2105263157894737,2.3684210526315788,0.5111111111111112,0.5789473684210527,1.263157894736842,0.45833333333333337,0.2631578947368421,0.42105263157894735,0.625,0.05263157894736842,0.5789473684210527,0.631578947368421,0.8421052631578947,0.5263157894736842,0.0,0.5263157894736842,0.9473684210526315,3.263157894736842,-0.10526315789473684,0:43,0.6389117889530092,0.6333333333333334,,,1.321052631578947,7.336842105263158,4.026315789473684,12.394736842105264,1.8368421052631578,0.0,,17.33157894736842,113.3157894736842,118.47368421052632,-0.7052631578947379,19
Braxton Key,Braxton Key,0:43,0.35294117647058826,0.9411764705882353,0.37500000000000006,0.058823529411764705,0.23529411764705882,0.25,0.23529411764705882,0.35294117647058826,0.6666666666666666,0.17647058823529413,0.6470588235294118,0.8235294117647058,0.47058823529411764,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.29411764705882354,1.0,-0.4117647058823529,0:43,0.4560085836909871,0.40625000000000006,0.3488813725490196,0.16519607843137257,2.023529411764706,16.664705882352937,9.441176470588237,7.4529411764705875,1.2058823529411764,1.5294117647058822,15.83710407239819,25.01764705882353,92.88235294117646,115.58823529411765,-2.488235294117646,17
D'Angelo Russell,D'Angelo Russell,36:11,6.4363636363636365,13.872727272727273,0.4639580602883355,2.654545454545454,6.418181818181818,0.4135977337110481,1.981818181818182,2.4727272727272718,0.8014705882352945,0.38181818181818183,2.4909090909090903,2.8727272727272735,6.4,0.8363636363636363,0.5090909090909093,1.9454545454545458,2.0909090909090904,17.509090909090897,1.3581027667984196,36:11,0.5851684410091873,0.5596330275229358,0.4586545454545455,0.19692727272727273,1.1872727272727273,8.710909090909091,5.147272727272726,29.310909090909085,1.2527272727272731,1.4763636363636363,12.080000000000002,22.912727272727277,113.6,118.52727272727273,0.5849011857707506,55
Anthony Davis,Anthony Davis,34:09,9.660714285714286,17.249999999999993,0.5600414078674951,0.33928571428571436,1.2499999999999996,0.2714285714285716,5.553571428571429,6.892857142857143,0.805699481865285,3.0892857142857144,9.303571428571432,12.392857142857144,3.6785714285714284,1.1071428571428568,2.4464285714285707,2.1071428571428585,2.375,25.214285714285715,0.4561688311688311,34:09,0.621566417805325,0.5698757763975159,0.07623214285714283,0.4079107142857142,10.575,27.314285714285717,19.317857142857132,16.914285714285715,1.4732142857142854,5.808928571428572,9.185714285714285,27.066071428571433,125.375,109.69642857142857,5.559253246753249,56
Austin Reaves,Austin Reaves,31:20,5.516666666666666,11.25,0.4903703703703703,1.7166666666666666,4.766666666666667,0.3601398601398601,3.15,3.65,0.863013698630137,0.65,3.25,3.899999999999999,5.4,0.8833333333333333,0.21666666666666667,2.1,1.85,15.9,-1.343478260869565,31:20,0.6183883011823273,0.5666666666666665,0.41978333333333323,0.3500499999999999,2.4783333333333335,11.130000000000003,7.0383333333333296,23.59,1.3533333333333333,0.5383333333333334,14.181666666666668,20.929999999999996,120.08333333333333,118.95,0.482028985507246,60
Taurean Prince,Taurean Prince,29:53,3.4210526315789473,7.824561403508769,0.4372197309417042,1.947368421052631,5.035087719298246,0.386759581881533,0.6842105263157895,0.9473684210526315,0.7222222222222223,0.22807017543859648,2.736842105263158,2.9649122807017543,1.719298245614035,0.8421052631578947,0.45614035087719296,0.9122807017543859,2.1754385964912295,9.473684210526315,-2.661654135338346,29:53,0.5747615803814716,0.5616591928251123,0.6384561403508775,0.15421052631578944,0.9736842105263155,10.031578947368422,5.664912280701756,7.291228070175438,1.368421052631579,1.2245614035087722,9.978947368421053,13.433333333333332,106.3157894736842,118.78947368421052,-3.3926482873851285,57
LeBron James,LeBron James,29:00,9.442307692307697,18.057692307692307,0.5228966986155488,2.096153846153846,5.25,0.3992673992673992,3.980769230769231,5.403846153846154,0.7366548042704626,0.8846153846153848,6.346153846153848,7.230769230769231,7.788461538461538,1.2884615384615385,0.5769230769230768,3.269230769230769,1.25,24.961538461538467,1.7106643356643354,29:00,0.6107430550327488,0.5809371671991483,0.29971153846153836,0.3132692307692307,2.8423076923076915,19.15769230769231,11.419230769230772,36.134615384615394,1.7250000000000005,1.3711538461538455,13.715384615384611,29.4076923076923,118.40384615384616,115.01923076923077,6.075000000000002,52
Gabe Vincent,Gabe Vincent,22:18,2.4,6.4,0.37499999999999994,0.4,3.4,0.11764705882352942,0.2,0.4,0.5,0.4,0.6,1.0,3.0,1.2,0.0,0.4,2.4,5.4,-0.4,22:18,0.4105839416058394,0.40625,0.5691999999999999,0.04,1.52,3.0000000000000004,2.18,16.919999999999998,1.98,0.0,4.0,12.44,99.0,115.8,-4.5,5
Cam Reddish,Cam Reddish,17:38,2.4166666666666665,5.888888888888889,0.410377358490566,0.9166666666666666,2.722222222222222,0.33673469387755106,1.0,1.2777777777777777,0.782608695652174,0.5833333333333334,1.8333333333333337,2.4166666666666665,1.333333333333333,1.1944444444444444,0.3888888888888889,0.9166666666666666,1.6666666666666667,6.75,-0.3450292397660818,17:38,0.5231656906648294,0.4882075471698113,0.5123373015873017,0.24891666666666673,2.561111111111111,8.413888888888886,5.625000000000002,6.455555555555556,2.066666666666667,1.383333333333333,13.40873015873016,13.144444444444444,88.33333333333333,114.72222222222223,-3.9912280701754392,36
